fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
benjamin_rogers_000_1_1.pst.105.xls,STRIPS:W25,1618,115,1,115,1
lindy_donoho_000_1_1_1.pst.11.xls,WOT by Month thru 2010:H32,138,225,2,216,2
andy_zipper_000_1_1.pst.78.xls,DD-ENA:F500,56,8,0,8,0
andy_zipper_000_1_1.pst.167.xls,Deal Detail:B9,60,639,3,1,3
don_baughman_000_1_1.pst.144.xls,Sheet1:C20,101,37,0,21,0
don_baughman_000_1_1.pst.101.xls,Sheet1:C20,99,37,1,21,1
larry_campbell_000_1_1.pst.502.xls,Sheet1:C20,85,37,0,21,0
don_baughman_000_1_1.pst.187.xls,Sheet1:C20,101,37,0,21,0
vkaminski_001_1_2_1.pst.62.xls,5b. 7.3:D4,1502,29029,252,29029,282
andy_zipper_000_1_1.pst.84.xls,TRANSACTIONSUMMARYREPORT -1:N4780,763,9,0,4,0
chris_germany_000_1_2.pst.208.xls,Jan 01 trial:AW14,446,584,12,583,12
paul_y'barbo_000_1_1.pst.127.xls,USGT 500616:G12,72,349,2,349,2
vkaminski_001_1_2_1.pst.159.xls,Escalation:A20,175,1883,17,1883,18
stacey_white_000_1_1.pst.279.xls,BRA Power:A6,1499,4385,69,4385,71
matthew_lenhart_001_1_1.pst.173.xls,OP.Power Desk Daily Price:B7,84,61,0,61,0
john_arnold_000_1_2.pst.354.xls,WinsTrades:E12,103,179,1,179,1
robin_rodrigue_000_1_1.pst.199.xls,Months:F4,140,124,0,124,0
vkaminski_000_1_1_1.pst.23.xls,CashFlow:B3,223,504,4,504,4
john_lavorato_001_1_1_1.pst.94.xls,CP Trade Data:F3,2428,34739,321,34735,348
darron_c_giron_002_1_1_1.pst.157.xls,30 Year:J3,71,2162,16,2162,17
thomas_martin_000_1_1_1.pst.194.xls,Physical Non EOL (2):C5,147,5,0,5,0
joe_parks_000_1_1.pst.296.xls,Data:J2,92,337,1,1,1
andy_zipper_000_1_1.pst.81.xls,DD-ENA:F500,56,8,0,8,0
tracy_geaccone_000_1_1.pst.198.xls,EREC-EREC4:E33,97,86,0,86,1
joe_parks_000_1_1.pst.121.xls,Permian Matrix:A186,176,178,2,177,2
john_griffith_000_1_1.pst.26.xls,Sheet1:E11,170,527,3,527,4
cooper_richey_000_1_1.pst.30.xls,DATA:F1556,59,3,0,1,0
andy_zipper_000_1_1.pst.73.xls,DD-ENA:F500,62,8,0,8,0
jonathan_mckay_000_1_1.pst.113.xls,Normals:C3,332,201,1,1,1
mike_grigsby_000_1_1_1.pst.108.xls,Power Curve:J5,1139,34481,570,34481,602
benjamin_rogers_001_1_1.pst.34.xls,Wheatland:Z66,87,46,0,45,0
larry_may_000_1_1.pst.311.xls,WEST GAMMA:CY2,615,1319,10,1319,11
robin_rodrigue_000_1_1.pst.133.xls,swap_model:B9,142,1686,15,1682,16
matthew_lenhart_001_1_1.pst.96.xls,OP.Power Desk Daily Price:B7,91,61,0,61,0
gerald_nemec_000_1_1.pst.11.xls,Cash Flows:B12,105,4266,35,4266,38
vkaminski_000_1_1_1.pst.281.xls,Expiration Dates:F9,217,1077,6,1077,7
vkaminski_000_1_1_1.pst.176.xls,ALUMINUM_S:B3288,347,7,0,5,0
jane_tholt_000_1_1.pst.18.xls,Assign To West Contracts:CI10,72,237,1,110,1
don_baughman_000_1_1.pst.147.xls,Sheet1:C20,100,37,0,21,0
darron_c_giron_000_1_1_1.pst.165.xls,Run Query:D25,146,28,0,1,0
andy_zipper_000_1_1.pst.65.xls,DD-ENA:F500,62,8,0,8,0
benjamin_rogers_001_1_1.pst.50.xls,Debt:E160,125,1343,12,1322,13
stacey_white_000_1_1.pst.300.xls,BRA Power:A6,1537,4385,68,4385,71
lindy_donoho_000_1_1_1.pst.142.xls,WOT by Month thru 2010:H32,136,225,2,216,2
darron_c_giron_002_1_1_1.pst.149.xls,Christopher-Custodial:E6,188,1134,9,1134,10
