fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime,RR-Chain_Comp,RR-Chain_NoComp,RR_Comp,RR_NoComp,RF_Comp,RF_NoComp,FR_Comp,FR_NoComp,FF_Comp,FF_NoComp,RRGapOne_Comp,RRGapOne_NoComp,RRGapTwo_Comp,RRGapTwo_NoComp,RRGapThree_Comp,RRGapThree_NoComp,RRGapFour_Comp,RRGapFour_NoComp,RRGapFive_Comp,RRGapFive_NoComp,RRGapSix_Comp,RRGapSix_NoComp,RRGapSeven_Comp,RRGapSeven_NoComp,NoComp_Comp,NoComp_NoComp
harry_arora_000_1_1.pst.14.xls,19761,39683,47160,256,254,747,7,652,217,45879,0,0,0,0,7,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23
benjamin_rogers_000_1_1.pst.45.xls,5623,27015,62584,1223,1750,2592,17,34,1603,61869,0,0,0,0,30,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
jeff_dasovich_000_1_1_1.pst.117.xls,4426,7760,8345,214,248,127,0,0,113,6790,0,0,0,0,116,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19
tracy_geaccone_000_1_1.pst.306.xls,22259,34326,46833,14479,15429,1186,85,170,9602,35627,0,0,0,0,1930,7224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3812,3812
tracy_geaccone_000_1_1.pst.307.xls,25667,40496,54364,17044,17937,1355,100,200,10613,41082,0,0,0,0,2225,8083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4999,4999
tracy_geaccone_000_1_1.pst.308.xls,25544,40297,54092,16886,17808,1352,93,186,10585,40915,0,0,0,0,2224,8085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4906,4906
mary_fischer_000_1_1.pst.140.xls,6119,10177,10408,828,860,185,10,20,733,10128,0,0,0,0,34,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83
dan_hyvl_000_1_1.pst.112.xls,5492,8526,12923,183,166,201,2,12,122,12394,0,0,0,0,2,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40
tracy_geaccone_000_1_1.pst.417.xls,11973,19545,25054,5380,4702,656,28,57,3275,20190,1,2,51,103,877,4211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,470
vkaminski_000_1_1_1.pst.23.xls,14403,39999,29420,2368,1647,648,2,24,1230,27012,0,0,0,0,302,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,113
phillip_m_love_000_1_1.pst.672.xls,19081,27212,53721,1377,1130,1731,8,84,511,36345,0,0,0,0,167,16845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,444
john_griffith_000_1_1.pst.26.xls,5269,5904,22869,135,131,493,1,175,34,5798,0,0,0,0,96,16896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vkaminski_000_1_1_1.pst.258.xls,25452,49551,49767,825,433,904,122,628,152,24927,0,0,0,0,137,23812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22
benjamin_rogers_000_1_1.pst.142.xls,6771,10473,11412,2058,1446,247,167,674,977,9645,0,0,0,0,111,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,191
benjamin_rogers_000_1_1.pst.143.xls,6563,10042,10796,1867,1326,231,146,624,903,9209,0,0,0,0,100,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,177
benjamin_rogers_000_1_1.pst.154.xls,6563,10042,10796,1867,1326,230,146,624,903,9209,0,0,0,0,100,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,177
benjamin_rogers_000_1_1.pst.157.xls,6563,10042,10796,1867,1326,229,146,624,903,9209,0,0,0,0,100,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,177
