fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
brti_excel_analysis.xlsx,brti_excel:B63,119,1,0,1,0
SSV1b_TimeRange.xlsx,Sheet1:C12979,1485,2,0,2,0
ecosystems_calculations_20211130.xlsx,0107:F79,247,15,0,4,0
2019-05-10-1102_empty_racir.xlsx,Measurements:C11,310,5610,52,5610,57
工作簿1-20181122163651735.xlsx,不良明细:CEA5,98,2,0,1,0
freezeExample.xlsx,Sheet:C21947,402,1,0,1,0
DailyTradeCounts_2016_2020.xlsx,20160101_20181130:J5725,921,1,0,1,0
Measurements_Temperature_DutyCycle.xlsx,Feuil1:D1,83,2837,14,2836,16
2019-07-03-1019_rhododendron_campylocarpum.xlsx,Measurements:D13,337,6600,59,6600,64
peerrank copy.xlsx,Sheet1:A38,2780,14,0,11,0
GL_Driver_Safety_Report_ferguson_20211031_095848.xlsx,Pivot Tables:M8,77,1,0,1,0
lenderToProyek.xlsx,Sheet2:I32256,3173,2,0,1,0
TestTable.xlsx,Таблица по выездам:AG330,219,11,0,3,0
Quarterly-Engage-UA-Revenue.xlsx,FSM:I1495,2984,7,0,5,0
20204-0.xlsx,Calcu_ADJ:L3,53,1301,11,1301,12
dist.xlsx,triangular:G2,57,1001,7,3,7
Southern Water Corp Statistical Analysis.xlsx,DRT Rolling Stdev:F1298,397,1,0,1,0
Covid SJC.xlsx,Planilha1:B2,180,337,3,306,3
工作簿1 - 副本-20181124101521380.xlsx,不良明细:CEA5,99,2,0,1,0
تستور.xlsx,المشاريع:A3,161,355,1,1,1
RE6685.xlsx,RE6685:C4071,356,1,0,1,0
ABACUS_NUMSPECSTOT (Autosaved).xlsx,ABACUS_NUMSPECSTOT:AA8433,2271,1,0,1,0
2020-09 Cleaned.xlsx,202009-divvy-tripdata:D26632,2347,1,0,1,0
VQAT_Stock forecast for each and all stores.xlsx,Virgin Megastore QATAR (2019):J11,255,23,1,23,1
vicon_udp_teensy.xlsx,less_didgits_200Hz_xbee:B1419,2860,3,0,1,0
2019-07-18-0854_angelica_archangelica.xlsx,Measurements:C11,310,5610,51,5610,57
KickstarterCampaignAnalysis.xlsx,Sheet1:I3390,204,1,0,1,1
工作簿1-20181123094550279.xlsx,不良明细:CEA5,99,2,0,1,0
All London 2012 athletes.xlsx,ALL ATHLETES:I10356,82,1,0,1,0
datacite_template_20200424_test.xlsx,metadata:BAL33,217,0,0,0,0
abundance data.xlsx,Protein groups:J7604,162,1,0,1,0
AllDataSpacing.xlsx,Raw Data:S9270,634,1,0,1,0
FirstLink - Copy 2.xlsx,lognorm via norm:B4,769,2011,20,19,20
Enhanced_0-level_11-4-2016.xlsx,Sheet1:E10,83,25,0,6,0
5_4_합성곱신경망.xlsx,학습:L2,222,95,1,95,1
all-geocodes-v2018 (1).xlsx,v2018geocodes:G30878,852,2,0,1,0
EDA.xlsx,training:B23,80,78,0,78,0
Tio Cash Master 1450old Find Ratio Graph sq and ratio all shaded inverse curve.xlsx,1450 find sq ratio all :I5,317,596,4,596,5
控制图.xlsx,输入:A11,243,4989,35,1,36
reference10_0.xlsx,Sheet0:D1391,157,1,0,1,0
Twin_house_O5_exp1_10minR1_volum.xlsx,Twin_house_O5_exp1_10min:D41,1774,6,0,4,0
Texas Local Governments.xlsx,GSA SAM Data:M3684,30,1,0,1,0
updatedProduceSales.xlsx,Sheet:C21947,484,1,0,1,0
AdimAdimVeriMadencisi-07_RapidMiner-01_RegresyonBitcoin.xlsx,bitcoinEMA:B6,185,6357,65,6356,69
FY 2018-2019 Weekly Placements-Returns-Reconciliation Tracker.xlsx,Dailies Summary:C116,802,312,2,312,2
relacao_geral_-_vodanet_-_08-05-2013.xlsx,Faturamento:H391,140,195,1,1,1
【第8回当日配布料】問題演習_第2回_確率.xlsx,【解答】（演習問題２）NYの気温データ :B14,732,24757,134,1,137
Real-Statistics-Examples-ANOVA-1.xlsx,Anova Resamp 1:T6,83,247,1,247,1
basecase.xlsx,Propor:N4,1574,35921,375,35921,428
Analysis_Final.xlsx,Bloomberg data:IC1462,1266,6,0,5,0
sampleDistanceCalculations.xlsx,_fit235754964:D2105,2183,5,1,5,1
uniworld_dipimp_test.xlsx,American Affiliates:R7647,1333,1,0,1,0
data_banknote_authentication.xlsx,Data:A38,210,2474,18,2199,20
DMS(Data Matching Schedule)_R0(Seq2)_220110.xlsx,Gutters:AB44,728,9,0,9,0
StarterBookH Homework .xlsx,Bonus Backers Count:F42,408,6,0,1,0
10gen_stwd_pct.xlsx,Lt Gov to Voting Statistics:N13,67,17,1,17,1
KPMG_file.xlsx,NewCustomerList:J259,435,3,0,1,0
Weather_Machakos-5PFA.xlsx,MK135PFA:K4613,2299,1,0,1,0
Supplemental_File_2.xlsx,find DE Mets in iAF1260:B43,2433,214,4,213,4
Weekly-covid-admissions-and-beds-publication-201105.xlsx,MV beds COVID:B57,88,760,5,760,5
Empoyee Master.xlsx,Corrections July 2019:G11,477,1,0,1,0
Input data.xlsx,Sheet2:N2180,394,7,0,6,0
工作簿1-20181122164802462.xlsx,不良明细:CEA5,97,2,0,1,0
big+troubles.xlsx,Action List:AA15,84,2423,138,2423,141
MER_DataElements_Public.xlsx,des:Q826,1475,3,0,2,0
covidImpact.xlsx,Sheet2:D29246,3798,1,0,1,0
SAM-0.05 OR5x100-0.75_6 dataset analysis.xlsx,State026:B47,527,6,1,1,1
StarterBook - tk06.xlsx,Formatted Data:L157,340,1,0,1,0
2014.12 Thermal Decay .xlsx,C(T):B13,565,1850,11,1850,12
LEITE_COMPOSIÇÃO.xlsx,Plan1:C273,301,16,0,15,0
Football Team Dataset MGSC661.xlsx,22:H12,145,1,0,1,0
WM3796_LT_timeseries_normalization.xlsx,WM3022_LT_timeseries_scaled:E26008,2954,3,1,2,1
NH2012Trends_orig.xlsx,data_harmonization:A1238,82,108,1,4,1
part 4.xlsx,Prob 18:O3,179,77,0,77,0
City Summary Template 1.xlsx,City Summary:K69,1812,5,0,4,0
体验课资料_双十一淘宝美妆数据.xlsx,体验课资料_双十一淘宝美妆数据:D6883,578,1,0,1,0
Burnham Center for Chemical Genomics_edited_20121217_Ian_for_upload.xlsx,Assay Definition:A290,63,2,0,1,0
olist_groups1.xlsx,growths:B7,88,5,0,5,0
机器订单_2020-06-16.xlsx,订单:AG213,38,3,0,3,0
spread_input_jul30_1_12h.xlsx,Truckstops:D767,131,3,0,3,0
Bleaching Data MAP Final.xlsx,Sheet1:G1475,279,1,0,1,0
MacIC-Portfolio-V1-Jan-28-2017.xlsx,Returns:R18,393,1172,8,1169,8
COVID-19%2BDaily%2Bdata%2B-%2BTrends%2Bin%2Bdaily%2BCOVID-19%2Bdata%2B-%2B16%2BNovember%2B2021.xlsx,Chart 3 - Archive ICU:A2,60,18,0,1,0
robin_rodrigue__33371__FTCan_Gas_Bench.xlsx,Detail:F4412,151,1,0,1,0
工作簿1 - 副本-20181123111607388.xlsx,不良明细:CEA5,204,2,0,1,0
工作簿1 - 副本-20181124094219781.xlsx,不良明细:CEA5,193,2,0,1,0
DR2 Voice Line Transcripts.xlsx,English Transcripts:I5635,315,2,0,1,0
short_msg_option_info_data.xlsx,备份:B14446,429,3,0,2,0
订单管理系统.xlsx,客户下单明细表:J13669,249,1,0,1,0
House_Election_Data_2008.xlsx,Cong Dist:BD4906,2202,224,3,224,3
LE2018 ward-by-ward results (updated 08.05.18)_ID.xlsx,Totals:X88,404,15,0,3,0
SoA TEMP V3.11.0.xlsx,Undergr (2):F1051,9258,87,1,8,1
AllDataShapeSimulation.xlsx,Raw Data:K3768,1654,1,0,1,0
Budget Doc.xlsx,Sheet1:AF10850,1011,61,1,61,1
Gastos.xlsx,Iniciales (PRESUPUESTO):Z614,1860,138,1,136,1
Slots.xlsx,Char count by slot:B44,68,2,0,2,0
stop_totals.xlsx,Sheet1:F2168,107,1,0,1,0
2020-02-10 0820 Analysis.xlsx,data:N2,445,12083,190,1,195
september-2-2021.xlsx,TestingByDate (Test Date):C3,676,588,3,1,3
database_2016.xlsx,All data:I4705,790,3,0,1,0
ACI.xlsx,H=1.25-P=1.5:I37,157,2,1,2,1
indexes for automatovie sector.xlsx,ReferenceData:C1009,961,29704,304,29645,331
工作簿1-20181123115814614.xlsx,不良明细:CEA5,99,2,0,1,0
NUKE.xlsx,20150310_NUKE.csv:AC213,3767,7,1,3,1
Processed Data-pre.xlsx,Password Sequences:A1,107,32,0,1,0
recentAPIdata2019.xlsx,Sheet:N38267,1582,1,0,1,1
2019-06-19-0919_aristolochia_tormentosa.xlsx,Measurements:C11,313,5610,51,5610,57
employmentForecast_presto.xlsx,dataOrig:L42,117,11,1,11,1
StarterBook_SC.xlsx,Bonus:D4,305,9,0,9,0
工作簿1 - 副本-20181123095141663.xlsx,不良明细:CEA5,101,2,0,1,0
GPSC_CTD_2016.4.25.xlsx,CTD:Q16587,142,1,0,1,0
