fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
2019-07-18-0854_angelica_archangelica.xlsx,Measurements:E13,328,6600,64,6600,71
KickstarterCampaignAnalysis.xlsx,Sheet1:E3021,224,2,0,1,0
工作簿1-20181123094550279.xlsx,不良明细:CBJ5,217,2,0,1,0
All London 2012 athletes.xlsx,ALL ATHLETES:K9909,84,1,0,1,0
datacite_template_20200424_test.xlsx,metadata:A78,337,10,0,2,0
abundance data.xlsx,Protein groups:AA6263,170,1,0,1,0
AllDataSpacing.xlsx,Raw Data:M4219,736,1,0,1,0
FirstLink - Copy 2.xlsx,logt via t:A4,835,8007,77,8007,84
Enhanced_0-level_11-4-2016.xlsx,Sheet1:A17,86,996,7,996,8
5_4_합성곱신경망.xlsx,학습:E16,231,4514,47,4514,51
all-geocodes-v2018 (1).xlsx,v2018geocodes:G7903,906,2,0,1,0
EDA.xlsx,training:C6273,84,100,1,100,1
Tio Cash Master 1450old Find Ratio Graph sq and ratio all shaded inverse curve.xlsx,1450 find sq ratio all :I5,263,596,4,596,4
控制图.xlsx,输入:C11,264,4989,37,1,37
reference10_0.xlsx,Sheet0:B1011,162,1,0,1,0
Twin_house_O5_exp1_10minR1_volum.xlsx,Twin_house_O5_exp1_10min:D6318,1898,12620,200,12620,216
Texas Local Governments.xlsx,GSA SAM Data:M3768,33,1,0,1,0
updatedProduceSales.xlsx,Sheet:C22908,542,1,0,1,0
AdimAdimVeriMadencisi-07_RapidMiner-01_RegresyonBitcoin.xlsx,bitcoinEMA:B7,284,9528,60,9528,67
FY 2018-2019 Weekly Placements-Returns-Reconciliation Tracker.xlsx,Dailies Summary:C100,886,312,2,312,2
relacao_geral_-_vodanet_-_08-05-2013.xlsx,Faturamento:H391,144,195,1,1,1
【第8回当日配布料】問題演習_第2回_確率.xlsx,（演習問題２）NYの気温データ:B14,750,24757,141,1,145
Real-Statistics-Examples-ANOVA-1.xlsx,Anova Resamp 1:T6,85,247,1,247,1
basecase.xlsx,Timeseries:F7487,1515,100,1,1,1
Analysis_Final.xlsx,Graphs_RETURNS COMPARISON:O218,1345,12,0,9,0
sampleDistanceCalculations.xlsx,_fit235754964:D36,2384,6,0,6,0
uniworld_dipimp_test.xlsx,American Affiliates:E7092,1433,1,0,1,0
data_banknote_authentication.xlsx,Data:M2,218,9884,73,9884,85
DMS(Data Matching Schedule)_R0(Seq2)_220110.xlsx,Gutters:AB86,648,9,0,9,0
StarterBookH Homework .xlsx,Bonus Backers Count:B813387,213,6,0,1,0
10gen_stwd_pct.xlsx,Lt Gov to Voting Statistics:M42,69,17,0,17,0
KPMG_file.xlsx,NewCustomerList:W368,502,1000,6,1,6
Weather_Machakos-5PFA.xlsx,MK135PFA:K8457,2286,1,0,1,0
Supplemental_File_2.xlsx,Metab Abbr iJR904:B225757,2489,761,5,1,5
Weekly-covid-admissions-and-beds-publication-201105.xlsx,MV beds COVID:B893,93,760,5,760,6
Empoyee Master.xlsx,Corrections July 2019:C86,460,1,0,1,0
Input data.xlsx,Sheet2:Q2060,404,7,0,2,0
工作簿1-20181122164802462.xlsx,不良明细:CBJ5,104,2,0,1,0
big+troubles.xlsx,Action List:T26,88,3098,267,3098,269
MER_DataElements_Public.xlsx,de_currnames_namechange:B2,1340,5483,63,1,65
covidImpact.xlsx,Sheet2:H31168,3573,1,0,1,0
SAM-0.05 OR5x100-0.75_6 dataset analysis.xlsx,State026:B66,517,6,0,1,0
StarterBook - tk06.xlsx,Formatted Data:N671,263,2,0,1,0
2014.12 Thermal Decay .xlsx,Three Fourths 2pt:F7,586,2093,19,2089,21
LEITE_COMPOSIÇÃO.xlsx,Plan1:Q788,281,16,0,15,0
Football Team Dataset MGSC661.xlsx,22:I4,150,1,0,1,0
WM3796_LT_timeseries_normalization.xlsx,WM3022_LT_timeseries_scaled:D33629,3003,105120,1109,105120,1254
NH2012Trends_orig.xlsx,data_harmonization:B363,82,109,0,3,0
part 4.xlsx,Prob 23:L2265,179,7616,65,7616,72
City Summary Template 1.xlsx,City Summary:B58,1913,5,0,5,0
体验课资料_双十一淘宝美妆数据.xlsx,体验课资料_双十一淘宝美妆数据:D10727,669,1,0,1,0
Burnham Center for Chemical Genomics_edited_20121217_Ian_for_upload.xlsx,Assay Definition:A198,66,4,0,1,0
olist_groups1.xlsx,growths:C3,90,7,0,7,0
机器订单_2020-06-16.xlsx,订单:V8,39,5,0,5,0
spread_input_jul30_1_12h.xlsx,Truckstops:C599,262,4,0,2,0
Bleaching Data MAP Final.xlsx,Sheet1:H458,168,1,0,1,0
MacIC-Portfolio-V1-Jan-28-2017.xlsx,Portfolio Metrics:J4,248,12,1,6,1
COVID-19%2BDaily%2Bdata%2B-%2BTrends%2Bin%2Bdaily%2BCOVID-19%2Bdata%2B-%2B16%2BNovember%2B2021.xlsx,Table 4 - Delayed Discharges:B347946,62,251,1,1,1
robin_rodrigue__33371__FTCan_Gas_Bench.xlsx,Detail:E1797,157,1,0,1,0
工作簿1 - 副本-20181123111607388.xlsx,不良明细:CBJ5,105,2,0,1,0
工作簿1 - 副本-20181124094219781.xlsx,不良明细:CBJ5,102,2,1,1,1
DR2 Voice Line Transcripts.xlsx,English Transcripts:I5026,236,2,0,1,0
short_msg_option_info_data.xlsx,备份:B16111,442,3,0,2,0
订单管理系统.xlsx,客户下单明细表:J12018,224,2,0,2,0
House_Election_Data_2008.xlsx,Cong Dist:AR4006,2077,497,7,497,7
LE2018 ward-by-ward results (updated 08.05.18)_ID.xlsx,Totals:BA152,407,15,0,3,0
SoA TEMP V3.11.0.xlsx,Setup1:R2079,8954,4814,39,4813,43
AllDataShapeSimulation.xlsx,Raw Data:K5690,1093,1,0,1,0
Budget Doc.xlsx,Sheet1:AG6818,770,61,0,61,1
Gastos.xlsx,Iniciales (PRESUPUESTO):BD15,1830,138,1,136,1
Slots.xlsx,Decomposition:A25560,67,5105,24,1,25
stop_totals.xlsx,Sheet1:F3129,95,1,0,1,0
2020-02-10 0820 Analysis.xlsx,data:N2,478,12083,86,1,91
september-2-2021.xlsx,TestingByDate (Test Date):F3,627,588,3,1,3
database_2016.xlsx,All data:J3936,662,7,0,2,0
ACI.xlsx,H=1.25-P=1.5:B322,163,2,0,2,0
indexes for automatovie sector.xlsx,ReferenceData:C1005,895,29704,350,29645,378
工作簿1-20181123115814614.xlsx,不良明细:CBJ5,103,2,0,1,0
NUKE.xlsx,20150310_NUKE.csv:S2345,3663,11,0,4,0
Processed Data-pre.xlsx,NormalData:AD553,109,55,1,55,1
recentAPIdata2019.xlsx,Sheet:N32501,1547,1,0,1,0
2019-06-19-0919_aristolochia_tormentosa.xlsx,Measurements:E13,322,6600,61,6600,68
employmentForecast_presto.xlsx,dataOrig:L539,178,11,0,11,0
StarterBook_SC.xlsx,Bonus:B10,373,9,0,9,0
工作簿1 - 副本-20181123095141663.xlsx,不良明细:CBJ5,104,2,0,1,0
GPSC_CTD_2016.4.25.xlsx,CTD:Q16844,148,1,0,1,0
ML_Flatsheet_Revised.Asset.xlsx,ML_Flatsheet_Revised Updated:H11641,109,1,0,1,0
ExampleStudy.xlsx,Sources:AA4,196,984,7,1,7
input_UC_iix2.xlsx,line_admittance:G6,8329,484,3,484,3
KickstarterChallengeWColDeletes.xlsx,OutcomesBasedOnGoals:D2,272,4,0,1,0
bank_term_deposit.xlsx,DAILY RANGE:C4,83,6,0,3,0
advance_excel_project.xlsx,Sheet7 (2):C4,216,4,0,1,0
工作簿1 - 副本-20181124102119337.xlsx,不良明细:CBJ5,102,2,0,1,0
qpcr_template_ottawa_wide.xlsx,Ottawa community data:AG5,202,535,3,534,3
Copy of mytable_customer_details- solution.xlsx,Table5_Dates:A19,1380,5,0,1,0
enem_2012.xlsx,Sheet1:K2049,91,1,0,1,0
Train_dataset (1).xlsx,Diuresis_TS:F7259,90,1,0,1,0
CL2.xlsx,Sheet30:B35,230,7,0,6,0
Fact2Sheet_Corona_20200605.xlsx,LastWeek:I3,238,4329,551,4188,554
6502.xlsx,シート7:A3,619,2320,17,2304,19
new_inventory.xlsx,Cases:B28,2018,8571,269,8571,279
