fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
john_griffith_000_1_1.pst.196.xls,NP1265.2:F3,715,8312,103,8302,112
daren_farmer_000_1_1.pst.1427.xls,Jan 01 trial:AW14,152,13,0,13,0
louise_kitchen_000_1_1_1_1.pst.245.xls,Cost Cancel Details:C58,245,667,8,667,8
barry_tycholiz_000_1_1.pst.77.xls,Sheet1:E5,638,162,1,162,1
paul_y'barbo_000_1_1.pst.61.xls,76%:D2,143,2017,13,2017,14
matthew_lenhart_001_1_1.pst.147.xls,OP.Power Desk Daily Price:B7,91,61,1,61,1
chris_germany_000_1_2.pst.1047.xls,Sheet2:K602,434,127,2,126,2
errol_mclaughlin_jr_000_1_1.pst.134.xls,LVPP MTM:B9,75,60,0,60,0
benjamin_rogers_001_1_1.pst.246.xls,Stratus Report:A15,176,1113,9,1113,10
rick_buy_000_1_2_1.pst.28.xls,Replacement Costs:D58,139,292,3,292,3
vladi_pimenov_000_1_1.pst.2.xls,Raw Data:CU4,582,17832,201,17831,225
lynn_blair_000_1_1.pst.181.xls,Aug 13:E2,89,37,0,15,0
david_delainey_000_1_2.pst.135.xls,balance sheet:I4,126,225,1,225,1
andy_zipper_000_1_1.pst.20.xls,Deal Detail:A9,80,772,6,1,7
tracy_geaccone_000_1_1.pst.262.xls,Trackers:D61,177,1098,11,1087,12
stacey_white_000_1_1.pst.287.xls,BRA Power:A6,1646,4385,79,4385,82
andy_zipper_000_1_1.pst.63.xls,DD-ENA:F500,68,8,0,8,0
matthew_lenhart_001_1_1.pst.152.xls,OP.Power Desk Daily Price:B7,91,61,0,61,0
benjamin_rogers_000_1_1.pst.204.xls,Wheatland:Z66,92,46,0,45,1
kevin_presto_000_1_1.pst.473.xls,Q3 2001:C250,366,245,1,1,1
benjamin_rogers_000_1_1.pst.140.xls,Template:E445,917,4545,49,4541,52
stacey_white_000_1_1.pst.216.xls,BRA Power:A6,1613,4385,83,4385,86
andy_zipper_000_1_1.pst.166.xls,Deal Detail:B9,62,597,4,1,4
vkaminski_000_1_1_1.pst.216.xls,w5000:B361,138,895,11,895,11
chris_germany_000_1_2.pst.1075.xls,Sheet2:K231,469,127,1,126,1
chris_germany_000_1_2.pst.1032.xls,11-99:U11,78,31,0,2,0
vkaminski_000_1_1_1.pst.24.xls,Analysis:T5,120,249,2,9,2
daren_farmer_000_1_1.pst.313.xls,thursday:N556,92,3,0,3,0
lindy_donoho_000_1_1_1.pst.10.xls,WOT by Month thru 2010:H32,153,225,3,216,3
craig_dean_000_1_1.pst.28.xls,May3:C2,63,48,0,2,0
larry_may_000_1_1.pst.309.xls,DATA:B3,139,60,0,1,0
andy_zipper_000_1_1.pst.27.xls,Deal Detail:A9,106,952,7,1,7
vkaminski_002_1_1_1.pst.10.xls,5a. 7.1:D4,599,14018,112,14017,123
drew_fossum_000_1_1.pst.224.xls,Jul:A9,51,199,1,199,1
chris_germany_000_1_2.pst.162.xls,gatherco:J3,117,1132,8,1132,8
vkaminski_000_1_1_1.pst.171.xls,TIN:B3288,375,7,0,5,0
juan_hernandez_000_1_1.pst.165.xls,Sheet1:C20,110,37,0,21,0
andy_zipper_000_1_1.pst.138.xls,TRANSACTIONSUMMARYREPORT -1:N4780,847,9,0,4,0
mike_grigsby_000_1_1_1.pst.250.xls,Months:F4,158,306,2,306,2
matthew_lenhart_000_1_1.pst.20.xls,Power Curve:J5,1175,31846,603,31846,631
errol_mclaughlin_jr_000_1_1.pst.23.xls,MAY-2001:J3,135,372,2,371,2
andy_zipper_000_1_1.pst.83.xls,TRANSACTIONSUMMARYREPORT -1:Q4713,451,9,0,4,0
tracy_geaccone_000_1_1.pst.428.xls,Americas-ESGVC4:E84,94,108,1,108,1
jay_reitmeyer_000_1_1.pst.197.xls,Sheet1:A25,123,88,1,1,1
benjamin_rogers_000_1_1.pst.104.xls,ZONE G OFFPEAK:C7,125,96,1,96,1
andy_zipper_000_1_1.pst.79.xls,DD-ENA:F500,63,8,0,8,0
don_baughman_000_1_1.pst.192.xls,Sheet1:C20,110,37,0,21,0
phillip_allen_000_1_1.pst.302.xls,Raw Data:CB5,374,0,0,0,0
jane_tholt_000_1_1.pst.186.xls,Sales:C9,74,1986,15,508,16
don_baughman_000_1_1.pst.145.xls,Sheet1:C20,113,37,1,21,1
don_baughman_000_1_1.pst.102.xls,Sheet1:C20,111,37,0,21,0
richard_ring_000_1_1.pst.143.xls,Hourly EESI Price Calcs:G21,187,2232,19,2232,20
daren_farmer_000_1_1.pst.384.xls,Jan 01 trial:AW14,249,13,0,13,0
don_baughman_000_1_1.pst.188.xls,Sheet1:C20,113,37,0,21,0
andrew_lewis_000_1_1.pst.12.xls,Swap:Z3,65,909,8,909,8
paul_y'barbo_000_1_1.pst.26.xls,76%:D2,146,2016,13,2016,15
benjamin_rogers_000_1_1.pst.154.xls,Depreciation:Z46,73,543,5,543,5
vkaminski_000_1_1_1.pst.289.xls,READDATA:AD6,100,0,0,0,0
keith_holst_000_1_1.pst.144.xls,FizIndexStart:S63,274,3,0,3,0
mary_fischer_000_1_1.pst.120.xls,SL1Trends:L32,128,20,0,20,0
louise_kitchen_001_1_1_1.pst.364.xls,West Power Origination:M21,57,54,1,54,1
benjamin_rogers_001_1_1.pst.27.xls,Wheatland:Z66,96,46,0,45,0
mark_haedicke_000_1_2.pst.31.xls,Off-Balance Sheet:S3,1734,16611,352,16610,365
john_griffith_000_1_1.pst.1000.xls,Spread Option:A11,142,95,1,80,1
matthew_lenhart_000_1_1.pst.65.xls,DA-ties:V84,372,2,0,2,0
errol_mclaughlin_jr_000_1_1.pst.71.xls,CC 103833 - Headcount:B31,114,208,2,208,2
kim_ward_000_1_2.pst.428.xls,Sales:C9,74,1986,15,508,16
tracy_geaccone_000_1_1.pst.306.xls,WESTCompare0201:AP7,403,0,0,0,0
john_hodge_000_1_1.pst.198.xls,load Info:L1070,302,8,0,4,0
chris_germany_000_1_1_1.pst.99.xls,Total Reqs:J69,116,251,3,251,3
vkaminski_001_1_2_1.pst.61.xls,3a. GBM :H7,619,4381,41,4381,45
tracy_geaccone_000_1_1.pst.197.xls,EREC-EREC4:E33,108,86,1,86,1
joe_parks_000_1_1.pst.315.xls,Leg2:F3,688,2536,29,2526,32
kevin_ruscitti_000_1_1.pst.155.xls,03_20_00AM:BT499,222,0,0,0,0
don_baughman_000_1_1.pst.138.xls,Sheet1:C20,113,37,1,21,1
errol_mclaughlin_jr_000_1_1.pst.133.xls,Surety Bond Annuity:B11,936,8649,120,8640,127
vladi_pimenov_000_1_1.pst.73.xls,Sheet1:C1,93,3948,30,3948,33
andy_zipper_000_1_1.pst.62.xls,DD-ENA:F500,71,8,0,8,0
andy_zipper_000_1_1.pst.146.xls,TRANSACTIONSUMMARYREPORT -1:N4780,851,9,0,4,0
benjamin_rogers_000_1_1.pst.169.xls,Maine Thermal:D100,592,695,6,695,6
matthew_lenhart_001_1_1.pst.103.xls,OP.Power Desk Daily Price:B7,100,61,0,61,0
david_delainey_000_1_2.pst.134.xls,balance sheet:I4,120,123,1,123,1
larry_may_000_1_1.pst.114.xls,SWAPS PAGE:P2,131,173,2,173,2
vkaminski_000_1_1_1.pst.317.xls,volatility:G595,218,67,1,67,1
dutch_quigley_000_1_1.pst.210.xls,Swap:D11,87,364,3,353,3
don_baughman_000_1_1.pst.202.xls,8-1:C20,482,37,0,21,0
robin_rodrigue_000_1_1.pst.53.xls,PrudCalc:AD7,69,0,0,0,0
mary_fischer_000_1_1.pst.140.xls,Curtailment Periods - Hourly:Z24,72,477,5,476,5
louise_kitchen_000_1_1_1_1.pst.246.xls,Cost Cancel Details:C58,273,667,5,667,5
louise_kitchen_000_1_1_1_1.pst.252.xls,Cost Cancel Details:C58,240,667,7,667,7
vkaminski_003_1_1_1.pst.73.xls,SpotCurves:F4,1256,4347,30,4342,33
joe_stepenovitch_000_1_1.pst.15.xls,DATA:F1380,37,3,0,1,0
john_griffith_000_1_1.pst.146.xls,FGT Z2 Supply:B10,1382,8313,109,8303,115
vkaminski_000_1_1_1.pst.173.xls,LEAD:B3288,371,7,0,5,0
daren_farmer_000_1_1.pst.1131.xls,Mar:I16,108,142,1,142,2
vkaminski_001_1_2_1.pst.100.xls,Forward Curves:C8,115,4080,43,4080,47
fletcher_sturm_000_1_1.pst.44.xls,Mar01:C62,274,159,3,157,3
vkaminski_001_1_2_1.pst.98.xls,Expiration Dates:F9,277,1077,6,1077,7
andy_zipper_000_1_1.pst.28.xls,TRANSACTIONSUMMARYREPORT -1:N4780,869,9,0,4,0
chris_germany_000_1_2.pst.1046.xls,Sheet2:K231,523,127,1,126,1
don_baughman_000_1_1.pst.193.xls,Sheet1:C20,110,37,0,21,0
chris_germany_000_1_2.pst.163.xls,gatherco:J3,116,1132,7,1132,8
john_griffith_000_1_1.pst.147.xls,FGT Z2 Supply:B10,1442,8313,93,8303,99
louise_kitchen_000_1_1_1_1.pst.247.xls,Cost Cancel Details:C58,236,667,7,667,8
craig_dean_000_1_1.pst.35.xls,SelfServeLoads:D24,355,15,0,15,0
chris_germany_000_1_1_1.pst.84.xls,Total Reqs:J65,108,251,2,251,3
darron_c_giron_000_1_1_1.pst.194.xls,PRD Location_Def:K3439,793,2,0,2,0
harry_arora_000_1_1.pst.12.xls,Gas Curves:BV2,465,0,0,0,0
john_arnold_000_1_2.pst.326.xls,model3:C20,281,2925,28,2925,30
harry_arora_000_1_1.pst.130.xls,WorkingData:E3,2690,4613,1056,4613,1059
don_baughman_000_1_1.pst.150.xls,Sheet1:C20,108,37,1,21,1
matthew_lenhart_000_1_1.pst.1.xls,Power Curve:J5,623,18030,254,18030,275
matthew_lenhart_001_1_1.pst.145.xls,OP.Power Desk Daily Price:B7,91,61,1,61,1
kim_ward_000_1_2.pst.383.xls,Sales:C9,74,1986,71,508,72
benjamin_rogers_000_1_1.pst.105.xls,STRIPS:W25,2055,115,0,115,1
lindy_donoho_000_1_1_1.pst.11.xls,WOT by Month thru 2010:H32,154,225,2,216,2
andy_zipper_000_1_1.pst.78.xls,DD-ENA:F500,63,8,0,8,0
andy_zipper_000_1_1.pst.167.xls,Deal Detail:B9,67,639,5,1,5
don_baughman_000_1_1.pst.144.xls,Sheet1:C20,111,37,1,21,1
don_baughman_000_1_1.pst.101.xls,Sheet1:C20,111,37,1,21,1
larry_campbell_000_1_1.pst.502.xls,Sheet1:C20,95,37,1,21,1
don_baughman_000_1_1.pst.187.xls,Sheet1:C20,115,37,0,21,0
vkaminski_001_1_2_1.pst.62.xls,5b. 7.3:D4,1647,29029,295,29029,326
andy_zipper_000_1_1.pst.84.xls,TRANSACTIONSUMMARYREPORT -1:N4780,849,9,0,4,0
chris_germany_000_1_2.pst.208.xls,Jan 01 trial:AW14,515,13,1,13,1
paul_y'barbo_000_1_1.pst.127.xls,USGT 500616:G12,78,349,3,349,3
vkaminski_001_1_2_1.pst.159.xls,Escalation:A20,196,1883,17,1883,19
stacey_white_000_1_1.pst.279.xls,BRA Power:A6,1551,4385,90,4385,93
matthew_lenhart_001_1_1.pst.173.xls,OP.Power Desk Daily Price:B7,91,61,1,61,1
john_arnold_000_1_2.pst.354.xls,WinsTrades:E12,113,179,1,179,1
robin_rodrigue_000_1_1.pst.199.xls,Months:F4,152,124,1,124,1
vkaminski_000_1_1_1.pst.23.xls,CashFlow:B3,242,504,4,504,5
john_lavorato_001_1_1_1.pst.94.xls,CP Trade Data:F3,2708,34739,370,34735,399
darron_c_giron_002_1_1_1.pst.157.xls,30 Year:J3,79,2162,18,2162,20
thomas_martin_000_1_1_1.pst.194.xls,Physical Non EOL (2):C5,164,5,1,5,1
joe_parks_000_1_1.pst.296.xls,Data:J2,103,337,2,1,2
andy_zipper_000_1_1.pst.81.xls,DD-ENA:F500,61,8,0,8,0
tracy_geaccone_000_1_1.pst.198.xls,EREC-EREC4:E33,107,86,0,86,0
joe_parks_000_1_1.pst.121.xls,Permian Matrix:A186,193,178,2,177,2
john_griffith_000_1_1.pst.26.xls,Sheet1:E11,185,527,4,527,4
cooper_richey_000_1_1.pst.30.xls,DATA:F1556,64,3,0,1,0
andy_zipper_000_1_1.pst.73.xls,DD-ENA:F500,67,8,0,8,0
jonathan_mckay_000_1_1.pst.113.xls,Normals:C3,371,201,1,1,1
mike_grigsby_000_1_1_1.pst.108.xls,Power Curve:J5,1247,34481,715,34481,761
benjamin_rogers_001_1_1.pst.34.xls,Wheatland:Z66,94,46,0,45,1
larry_may_000_1_1.pst.311.xls,WEST GAMMA:CY2,678,0,0,0,0
robin_rodrigue_000_1_1.pst.133.xls,swap_model:B9,155,1686,18,1682,19
matthew_lenhart_001_1_1.pst.96.xls,OP.Power Desk Daily Price:B7,100,61,1,61,1
gerald_nemec_000_1_1.pst.11.xls,Cash Flows:B12,118,4266,40,4266,44
vkaminski_000_1_1_1.pst.281.xls,Expiration Dates:F9,237,1077,6,1077,7
vkaminski_000_1_1_1.pst.176.xls,ALUMINUM_S:B3288,377,7,0,5,0
