fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
daren_farmer_000_1_1.pst.313.xls,thursday:N13,81,3,0,3,0
lindy_donoho_000_1_1_1.pst.10.xls,WOT by Month thru 2010:DU7,136,2,0,2,0
craig_dean_000_1_1.pst.28.xls,May3:C49,56,13,0,3,0
larry_may_000_1_1.pst.309.xls,DATA:B3,122,60,0,1,0
andy_zipper_000_1_1.pst.27.xls,Deal Detail:K375,97,3,1,1,1
vkaminski_002_1_1_1.pst.10.xls,5a. 7.1:D4,513,14018,244,14017,261
drew_fossum_000_1_1.pst.224.xls,Jul:A9,50,199,2,199,3
chris_germany_000_1_2.pst.162.xls,Special Pricing:A327,110,8,0,8,0
vkaminski_000_1_1_1.pst.171.xls,TIN:B3505,370,7,0,5,0
juan_hernandez_000_1_1.pst.165.xls,Sheet1:C38,109,37,1,21,1
andy_zipper_000_1_1.pst.138.xls,DD-EGL:P29,842,3,0,3,0
mike_grigsby_000_1_1_1.pst.250.xls,Months:F4,144,306,2,306,2
matthew_lenhart_000_1_1.pst.20.xls,Curves:A1,1162,899,311,899,312
errol_mclaughlin_jr_000_1_1.pst.23.xls,MAY-2001:J3,138,372,5,371,5
andy_zipper_000_1_1.pst.83.xls,DD-EGL:P29,520,3,0,3,0
tracy_geaccone_000_1_1.pst.428.xls,EREC-EREC4:E92,93,71,1,71,1
jay_reitmeyer_000_1_1.pst.197.xls,Sheet1:AJ62,125,1,0,1,0
benjamin_rogers_000_1_1.pst.104.xls,ZONE A OFFPEAK:C7,123,93,1,93,1
andy_zipper_000_1_1.pst.79.xls,DD-EGL:P29,57,3,0,3,0
don_baughman_000_1_1.pst.192.xls,Sheet1:C38,102,37,1,21,1
phillip_allen_000_1_1.pst.302.xls,Sheet2:G3,340,27,0,1,0
jane_tholt_000_1_1.pst.186.xls,July 17 Supply Price:A3,71,36,0,1,0
don_baughman_000_1_1.pst.145.xls,Sheet1:C38,106,37,1,21,1
don_baughman_000_1_1.pst.102.xls,Sheet1:C38,104,37,0,21,0
richard_ring_000_1_1.pst.143.xls,Hourly EESI Price Calcs:G21,166,2232,30,2232,31
daren_farmer_000_1_1.pst.384.xls,Jan 01 trial:AB14,233,0,0,0,0
don_baughman_000_1_1.pst.188.xls,Sheet1:C38,107,37,1,21,1
andrew_lewis_000_1_1.pst.12.xls,Swap:A7,58,900,11,900,11
paul_y'barbo_000_1_1.pst.26.xls,76%:D2,129,2016,21,2016,23
benjamin_rogers_000_1_1.pst.154.xls,Debt:B54,70,366,5,364,5
vkaminski_000_1_1_1.pst.289.xls,READDATA:AD6,93,0,0,0,0
keith_holst_000_1_1.pst.144.xls,FizIndexStart:C45,236,3,0,3,0
mary_fischer_000_1_1.pst.120.xls,SL1Trends:L32,116,20,0,20,0
louise_kitchen_001_1_1_1.pst.364.xls,Mkt Risk:J17,52,44,1,43,1
benjamin_rogers_001_1_1.pst.27.xls,Wilton:Y135,86,28,1,28,1
mark_haedicke_000_1_2.pst.31.xls,Off-Balance Sheet:S3,1557,16611,970,16610,982
john_griffith_000_1_1.pst.1000.xls,Spread Option:AO10,129,17,0,16,0
matthew_lenhart_000_1_1.pst.65.xls,DA-ties:J59,342,2,0,1,0
errol_mclaughlin_jr_000_1_1.pst.71.xls,CC 103816 - Detail Expenses:M48,104,7,0,7,0
kim_ward_000_1_2.pst.428.xls,July 17 Supply Price:A3,72,36,1,1,1
tracy_geaccone_000_1_1.pst.306.xls,Annual Fuel Calc Alt:L30,309,67,1,67,1
john_hodge_000_1_1.pst.198.xls,load Info:L910,272,8,0,4,0
chris_germany_000_1_1_1.pst.99.xls,Total Reqs:J11,109,251,4,251,4
vkaminski_001_1_2_1.pst.61.xls,3a. GBM :I7,577,4381,80,4381,84
tracy_geaccone_000_1_1.pst.197.xls,EREC-EREC4:E70,106,70,1,70,1
joe_parks_000_1_1.pst.315.xls,Monthly Value:D14,672,25,0,25,0
kevin_ruscitti_000_1_1.pst.155.xls,03_20_00AM:X531,206,1,0,1,0
don_baughman_000_1_1.pst.138.xls,Sheet1:C38,111,37,0,21,0
errol_mclaughlin_jr_000_1_1.pst.133.xls,Surety Bond Annuity:B11,854,8649,225,8640,234
vladi_pimenov_000_1_1.pst.73.xls,Price Sheet:B3,92,69,0,16,1
andy_zipper_000_1_1.pst.62.xls,DD-EGL:P29,67,3,0,3,0
andy_zipper_000_1_1.pst.146.xls,DD-EGL:P29,862,3,0,3,0
benjamin_rogers_000_1_1.pst.169.xls,ENA_Debt:B54,489,366,6,364,7
matthew_lenhart_001_1_1.pst.103.xls,OP.Power Desk Daily Price:B7,95,61,0,61,0
david_delainey_000_1_2.pst.134.xls,balance sheet:I3,109,123,1,123,1
larry_may_000_1_1.pst.114.xls,curves:G2,120,53,0,1,0
vkaminski_000_1_1_1.pst.317.xls,volatility:H704,202,34,1,3,1
dutch_quigley_000_1_1.pst.210.xls,Opt:B10,84,294,3,1,3
don_baughman_000_1_1.pst.202.xls,8-1:C38,322,37,1,21,1
robin_rodrigue_000_1_1.pst.53.xls,PrudCalc:AD7,69,0,0,0,0
mary_fischer_000_1_1.pst.140.xls,Curtailment Periods - Hourly:I39,70,11,0,9,0
louise_kitchen_000_1_1_1_1.pst.246.xls,Cost Cancel Details:D108,299,461,6,461,7
louise_kitchen_000_1_1_1_1.pst.252.xls,Cost Cancel Details:D108,237,461,6,461,7
vkaminski_003_1_1_1.pst.73.xls,CurveCreator:A4,1179,157,2,1,3
