fileName,Max Dep Ref,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
vkaminski_000_1_1_1.pst.289.xls,READDATA:AD6,0,0,0,0
keith_holst_000_1_1.pst.144.xls,FizIndexStart:S63,3,0,3,0
mary_fischer_000_1_1.pst.120.xls,SL1Trends:L32,17,0,17,0
louise_kitchen_001_1_1_1.pst.364.xls,West Power Origination:M21,23,0,22,0
benjamin_rogers_001_1_1.pst.27.xls,Wheatland:Z66,45,0,45,0
mark_haedicke_000_1_2.pst.31.xls,Off-Balance Sheet:S3,1478,17,1476,18
john_griffith_000_1_1.pst.1000.xls,Spread Option:A11,55,1,52,1
matthew_lenhart_000_1_1.pst.65.xls,DA-ties:V84,2,0,2,0
errol_mclaughlin_jr_000_1_1.pst.71.xls,CC 103833 - Headcount:B31,9,0,8,0
kim_ward_000_1_2.pst.428.xls,Sales:C9,29,0,26,0
tracy_geaccone_000_1_1.pst.306.xls,WESTCompare0201:AP7,0,0,0,0
john_hodge_000_1_1.pst.198.xls,load Info:L1070,8,0,4,0
chris_germany_000_1_1_1.pst.99.xls,Total Reqs:J69,251,2,251,2
vkaminski_001_1_2_1.pst.61.xls,3a. GBM :H7,3,0,3,0
tracy_geaccone_000_1_1.pst.197.xls,EREC-EREC4:E33,86,1,86,1
joe_parks_000_1_1.pst.315.xls,Leg2:F3,14,0,12,0
kevin_ruscitti_000_1_1.pst.155.xls,03_20_00AM:BT499,0,0,0,0
don_baughman_000_1_1.pst.138.xls,Sheet1:C20,37,0,21,0
errol_mclaughlin_jr_000_1_1.pst.133.xls,Surety Bond Annuity:B11,73,0,72,0
vladi_pimenov_000_1_1.pst.73.xls,Sheet1:C1,19,0,19,0
andy_zipper_000_1_1.pst.62.xls,DD-ENA:F500,4,0,4,0
andy_zipper_000_1_1.pst.146.xls,TRANSACTIONSUMMARYREPORT -1:N4780,4,0,4,0
benjamin_rogers_000_1_1.pst.169.xls,Maine Thermal:D100,469,4,469,4
matthew_lenhart_001_1_1.pst.103.xls,OP.Power Desk Daily Price:B7,3,0,3,0
david_delainey_000_1_2.pst.134.xls,balance sheet:I4,21,0,21,0
larry_may_000_1_1.pst.114.xls,SWAPS PAGE:P2,14,0,14,0
vkaminski_000_1_1_1.pst.317.xls,volatility:G595,5,0,3,0
