fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime,RR-Chain_Comp,RR-Chain_NoComp,RR_Comp,RR_NoComp,RF_Comp,RF_NoComp,FR_Comp,FR_NoComp,FF_Comp,FF_NoComp,RRGapOne_Comp,RRGapOne_NoComp,RRGapTwo_Comp,RRGapTwo_NoComp,RRGapThree_Comp,RRGapThree_NoComp,RRGapFour_Comp,RRGapFour_NoComp,RRGapFive_Comp,RRGapFive_NoComp,RRGapSix_Comp,RRGapSix_NoComp,RRGapSeven_Comp,RRGapSeven_NoComp,NoComp_Comp,NoComp_NoComp
nl2019_wind_inland.xlsx,78851,113904,113899,28,22,1361,1,8759,13,70092,0,0,0,0,8,35044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2_consumption_test_15min.xlsx,35037,35040,35036,2,1,189,0,0,1,35036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incendios forestales_consolidado.xlsx,143637,153921,143637,52,26,1548,18,50149,6,93486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
GMBA_Inventory_v2.0_Selection_Tool.xlsx,43094,86194,146521,18,19,2061,1,8619,16,120664,0,0,0,0,2,17238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
store sales.xlsx,25224,50431,42052,24,23,619,1,8398,9,33612,0,0,0,0,12,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EC07.xlsx,32015,32024,96040,36,48,1322,4,8000,28,56024,0,0,0,0,16,32016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
指數平滑法1081111.xlsx,31415,35384,86283,73,69,1213,5,7849,39,62739,0,0,0,0,9,11768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
BAU Amt Spent on Bldg Components.xlsx,7820,15557,15761,56,69,103,1,7695,23,7819,0,0,0,0,42,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
W23702-91.xlsx,22834,60891,68500,11,8,734,1,7610,6,45667,0,0,0,0,1,7612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T100_1520_WAVSTEP_BRISTOL_PM_COMBINED.xlsx,59971,97447,89942,18,12,1000,4,30000,8,59942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walkingFast_euler.xlsx,14507,17510,18510,12,12,142,1,7499,11,11011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zbiornik.xlsx,21922,25581,32880,28,16,360,3,7306,8,25568,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Zeszyt1.xlsx,32877,43837,54788,22,16,757,3,10956,12,43831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
medidas_bateria.xlsx,17968,44928,89840,22,18,1078,4,17968,10,44920,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
W1KG13126-37.xlsx,21295,56787,63883,11,8,680,1,7097,6,42589,0,0,0,0,1,7099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W22704-181.xlsx,21295,56787,63883,11,8,673,1,7097,6,42589,0,0,0,0,1,7099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W22704-19.xlsx,21295,56787,63883,11,8,668,1,7097,6,42589,0,0,0,0,1,7099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W23703-118.xlsx,21295,56787,63883,11,8,722,1,7097,6,42589,0,0,0,0,1,7099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1GS66030-10.xlsx,21295,56787,63883,11,8,676,1,7097,6,42589,0,0,0,0,1,7099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMOK.xlsx,21010,21013,42010,23,26,426,2,13996,5,27994,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18
ВА15ОН_01_20151227 full.xlsx,13968,34920,41901,7,4,306,1,6983,3,20952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
power movs categorized.xlsx,35259,58546,97480,53,31,998,3,20238,20,57007,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
END2_Session2_Assignment.xlsx,86808,99699,302232,168,282,5747,24,25704,234,250824,0,0,0,0,24,25704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161 Ranking Comunal Educación.xlsx,95282,20022,31345,57,42,368,8,10134,18,4093,0,0,0,0,10,17112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
emissions_reduction_master_sheet.xlsx,14088,22304,14905,142,99,128,4,6120,38,8378,0,0,0,0,24,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33
Binno test Status Nov01_2018.xlsx,41577,52289,64229,63,44,852,5,257,26,54831,0,0,2,6083,4,3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
ВА15УН_01_20151227 full.xlsx,11454,28635,34359,7,4,248,1,5726,3,17181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ВА12ОВ_03_20151204 full.xlsx,11368,28420,34101,7,4,253,1,5683,3,17052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
timeseries_tracertest_Kortright_7hr.xlsx,25565,49185,43689,40,22,447,6,6274,9,25126,0,0,0,0,3,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
ВА09ОН_01_20151124 full.xlsx,11184,27960,33549,7,4,240,1,5591,3,16776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VET_rsi_with_ema.xlsx,34638,40439,86551,44,34,972,6,11526,16,40397,0,0,0,0,10,23048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
