fileName,Max Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
11202_个别报表_2019年度_深圳金信_V0.1 - 合并版.xlsx,未审报表分析:D31,1105,22,1,22,1
shoe_data.xlsx,Al Bundy:C14970,490,2,0,2,0
出行属性.xlsx,Sheet1:M66068,2035,1,0,1,0
KickStarter Data Analysis.xlsx,Data:N2930,204,2,0,1,0
US Presidential Results & PVIs by State 1828-2012 (1).xlsx,Overall US Pres Results & PVIs:JJ12,635,6,1,3,1
SAM-0.1 OR10x100-0.50_6 dataset analysis.xlsx,State026:B44,729,6,1,1,1
allTweets.xlsx,all:A17295,535,2,1,1,1
Hypotheekrente.xlsx,Lineair:C114,512,14,0,14,0
jane_tholt__13053__June 12 Proposal Without J4JB in Mcfd.xlsx,Assign To West Contracts:CI10,301,94,1,88,2
test_信号0729_vega敞口2_iv_vega正敞口三分之一_负vega3倍_gamma3倍_65_7天不开.xlsx,PnL:G3,197,2,0,1,0
benodigde grafieken barometer GJ en wve def data update dec 2012.xlsx,uitacces:A2,197,1,0,1,0
ZSJ_pocet_obyv-number-code.xlsx,zsj:E22620,179,1,0,1,0
Project Data.xlsx,Outcome Based on Goal:C10,195,4,0,1,0
DatenFormatiert.xlsx,Tabelle1:B5708,74,1,0,1,0
Accidents.xlsx,Data:AF17,266,2,0,2,0
2020_IRGEI_03ANT_lite.xlsx,Fuentes puntuales:D1,4442,2,0,1,0
Test Runs.xlsx,Test 6:L8,237,1,0,1,0
el staff coll.xlsx,APRIL2015 TO JAN2016 (4):Q8060,2610,842,14,615,15
DMD_PRJ.xlsx,IND:D4,3121,813,13,813,14
Sample1.xlsx,Tabelle1:A773,1629,1,0,1,0
tasa-de-homicidios.xlsx,Vinculacion_Geografico:G32,139,1,0,1,0
Revidly_Analytics ( A.M.Srivatsan ).xlsx,Analytics11:C1097,2110,9,1,4,1
common.xlsx,Traditional:A1548,167,2,0,2,0
OECD.xlsx,AUT:R211,287,2,0,1,0
SolvedStarterBook.xlsx,Bonus:C12,263,4,0,1,0
ventasCocaCola_matrícula_solucion.xlsx,Datos:T1978,1968,4,0,1,0
FN-2016-2019(1).xlsx,2019:AB17,264,174,2,174,2
MLX90640 example data.xlsx,To calculation:B4,123,64,0,64,0
منزل النور.xlsx,المشاريع:A3,560,1,0,1,0
Stull-SkewT04-logP-modifyTheta_e compare to Bolton.xlsx,Sheet1:J1,1094,3,0,2,0
SAM-0.1 OR30x100-0.50_8 dataset analysis.xlsx,State026:B88,820,6,0,1,0
GPSC_macro_size_2017.11.16new.xlsx,Polychaeta:M205,101,2,0,1,0
accum-temperature.xlsx,Лист1:B2885,2716,2,0,2,0
Scripps_150_JR_2013-01-25.xlsx,Assay Definition:A758,201,1,0,1,0
11301_个别报表_2019年度_北京金科_V0.1-合并版.xlsx,未审报表分析:D32,1376,22,1,22,1
StarterBook_Homework_SMP.xlsx,New Sheet & Bonus:B9,233,6,0,4,0
Resultats Primaire T1 95pct.xlsx,RESULTATS BVP:U3441,175,11,0,4,0
工作簿1-20181123094550369.xlsx,不良明细:CBJ5,334,1,0,1,0
GEW.2012.JML.xlsx,E2 ISR raw data:C10931,691,1,0,1,0
gaslines_model_public.xlsx,Transect:A9,10636,263,3,13,3
edevlet-mezarlik-verileri.xlsx,Toplam:B73,253,1,0,1,0
Tio Cash Master 1400 Find Ratio of Star-fam.xlsx,1405 fam19 ratio:C5,1616,11,0,11,0
Dataset 1 - RAWS and Veer - 01.xlsx,Levels:C2,1265,30,0,29,0
【AUO OCL_FY21 85AG (SSV) 】 SMLD Quality Data Workbook.xlsx,InProcess Conf:BA682143,1111,4,0,4,0
工作簿1-20181122170147433.xlsx,不良明细:CBJ5,276,1,0,1,0
2019-05-11-0752_drimys_winteri.xlsx,Measurements:E13,726,20,0,5,0
CPC_no_partition_WB_FIFO_results.xlsx,CPC_contentions:C82,5678,9,0,9,0
FullRes Capture conversion.xlsx,Peaks:E5,2324,1,0,1,0
2017 PoB by Race All.xlsx,PoB KC Tracts:Y342,618,6,0,6,0
36-4f54e4360dc6fd7070026565f3bbea16-1327968647.xlsx,formulario P-2011:T33,118,4,0,3,0
SunlightCalculator.xlsx,Arkusz2:P4,94,9,0,2,0
freeze_example.xlsx,Sheet:B1043,291,1,0,1,0
wykaz_czasopism_18-12-2019.xlsx,Czasopisma:B3,155,1,0,1,0
Richness_Ephemeroptera_Plecoptera_Allgenera.xlsx,Dørålseter (Dovre):H15,231,2,0,2,0
countytractfiles.xlsx,Sheet1:A6009,74,2,0,1,0
mercury1650pt.xlsx,siptm:BB918,225,1,0,1,0
Ex4-5 Team Rating v2 (4).xlsx,Model:O2914,1340,9,0,3,0
Solution_lesson_2.xlsx,All:G144984,289,1,0,1,0
MensTennisRPI.xlsx,RPI:H3,4555,1,0,1,0
webStore.xlsx,WebStore_dupes_marked:M2,3239,2,0,2,0
relacao_geral_-_vodanet_-_07-04-2014.xlsx,Anatel:N1213,250,1,0,1,0
fin-v8.xlsx,Sheet:F12022,7372,2,0,1,0
IPZ Precio Arriendo Venta Rentabilidad Score Barrio.xlsx,Datos Brutos:J16021,2545,2,0,1,0
CPIvs行业.xlsx,backtest:B617,7250,23,0,23,0
Coding Task.xlsx,Coding:AM9393,477,2,0,1,0
ALMACEN      AGOSTO         2016.xlsx,PERNIL:D10,653,2,0,1,0
greige provision.xlsx,Final:Y5,461,5,1,5,1
BRITANNICA PROJECT EXPENSES.xlsx,CASH 79ST:F73,386,11,0,10,0
main.xlsx,1m:B4816,1558,6,0,5,0
30_70_2ptGuided.xlsx,Sheet1:I255,8754,2,0,2,0
