fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
healthcare-dataset-stroke-data by akhilesh mishra.xlsx,healthcare-dataset-stroke-data:K665,89,1,0,1,0
物理作业11.xlsx,Sheet1:HN152,1054,149,2,1,2
NHL 2007-08.xlsx,Players:BY1188,1429,0,0,0,0
mary_fischer__25393__yr 2001 Commissioning Summary 2-26-02.xlsx,Feb 2002:C195,93,11,0,7,1
KBandFilter.xlsx,20GHZ:I1172,155,1,0,1,0
MatrizTransición.xlsx,3X3INBURSA:H43,1096,13,1,13,1
brti_excel_analysis.xlsx,brti_excel:B63,123,1,0,1,0
SSV1b_TimeRange.xlsx,Sheet1:C12979,1438,2,0,2,0
ecosystems_calculations_20211130.xlsx,0107:F79,251,15,1,4,1
2019-05-10-1102_empty_racir.xlsx,Measurements:C11,317,5610,102,5610,106
工作簿1-20181122163651735.xlsx,不良明细:CEA5,101,2,0,1,0
freezeExample.xlsx,Sheet:C21947,525,1,0,1,0
DailyTradeCounts_2016_2020.xlsx,20160101_20181130:J5725,619,1,0,1,0
Measurements_Temperature_DutyCycle.xlsx,Feuil1:D1,84,2837,25,2836,27
2019-07-03-1019_rhododendron_campylocarpum.xlsx,Measurements:D13,329,6600,178,6600,183
peerrank copy.xlsx,Sheet1:A38,2560,14,0,11,0
GL_Driver_Safety_Report_ferguson_20211031_095848.xlsx,Pivot Tables:M8,81,1,0,1,0
lenderToProyek.xlsx,Sheet2:I32256,3179,2,0,1,0
TestTable.xlsx,Таблица по выездам:AG330,273,0,0,0,0
Quarterly-Engage-UA-Revenue.xlsx,FSM:I1495,2832,7,1,5,1
20204-0.xlsx,Calcu_ADJ:L3,54,1301,25,1301,26
dist.xlsx,triangular:G2,60,1001,15,3,16
Southern Water Corp Statistical Analysis.xlsx,DRT Rolling Stdev:F1298,344,1,0,1,0
Covid SJC.xlsx,Planilha1:B2,188,337,11,306,11
工作簿1 - 副本-20181124101521380.xlsx,不良明细:CEA5,100,2,0,1,0
تستور.xlsx,المشاريع:A3,167,355,3,1,3
RE6685.xlsx,RE6685:C4071,360,1,1,1,1
ABACUS_NUMSPECSTOT (Autosaved).xlsx,ABACUS_NUMSPECSTOT:AA8433,2296,0,0,0,0
2020-09 Cleaned.xlsx,202009-divvy-tripdata:D26632,2296,1,0,1,0
VQAT_Stock forecast for each and all stores.xlsx,Virgin Megastore QATAR (2019):J11,248,23,0,23,0
vicon_udp_teensy.xlsx,less_didgits_200Hz_xbee:B1419,2835,3,0,1,0
2019-07-18-0854_angelica_archangelica.xlsx,Measurements:C11,321,5610,100,5610,106
KickstarterCampaignAnalysis.xlsx,Sheet1:I3390,215,1,0,1,0
工作簿1-20181123094550279.xlsx,不良明细:CEA5,103,2,0,1,0
All London 2012 athletes.xlsx,ALL ATHLETES:I10356,81,1,0,1,0
datacite_template_20200424_test.xlsx,metadata:BAL33,228,0,0,0,0
abundance data.xlsx,Protein groups:J7604,166,1,0,1,0
AllDataSpacing.xlsx,Raw Data:S9270,709,1,0,1,0
FirstLink - Copy 2.xlsx,lognorm via norm:B4,820,2011,51,19,51
Enhanced_0-level_11-4-2016.xlsx,Sheet1:E10,84,25,1,6,1
5_4_합성곱신경망.xlsx,학습:L2,269,95,1,95,1
all-geocodes-v2018 (1).xlsx,v2018geocodes:G30878,931,2,0,1,0
EDA.xlsx,training:B23,80,78,1,78,1
Tio Cash Master 1450old Find Ratio Graph sq and ratio all shaded inverse curve.xlsx,1450 find sq ratio all :I5,260,596,7,596,7
控制图.xlsx,输入:A11,249,4989,54,1,55
reference10_0.xlsx,Sheet0:D1391,159,1,1,1,1
Twin_house_O5_exp1_10minR1_volum.xlsx,Twin_house_O5_exp1_10min:D41,1860,6,0,4,0
Texas Local Governments.xlsx,GSA SAM Data:M3684,33,1,0,1,0
updatedProduceSales.xlsx,Sheet:C21947,419,1,0,1,0
AdimAdimVeriMadencisi-07_RapidMiner-01_RegresyonBitcoin.xlsx,bitcoinEMA:B6,188,6357,65,6356,70
FY 2018-2019 Weekly Placements-Returns-Reconciliation Tracker.xlsx,Dailies Summary:C116,800,312,3,312,3
relacao_geral_-_vodanet_-_08-05-2013.xlsx,Faturamento:H391,149,195,2,1,2
【第8回当日配布料】問題演習_第2回_確率.xlsx,【解答】（演習問題２）NYの気温データ :B14,722,24757,259,1,262
Real-Statistics-Examples-ANOVA-1.xlsx,Anova Resamp 1:T6,187,247,3,247,3
basecase.xlsx,Propor:N4,1556,35921,787,35921,839
Analysis_Final.xlsx,Bloomberg data:IC1462,1291,0,0,0,0
sampleDistanceCalculations.xlsx,_fit235754964:D2105,2249,5,0,5,0
uniworld_dipimp_test.xlsx,American Affiliates:R7647,1370,1,0,1,0
data_banknote_authentication.xlsx,Data:A38,211,2474,32,2199,34
DMS(Data Matching Schedule)_R0(Seq2)_220110.xlsx,Gutters:AB44,637,0,0,0,0
StarterBookH Homework .xlsx,Bonus Backers Count:F42,205,6,0,1,0
10gen_stwd_pct.xlsx,Lt Gov to Voting Statistics:N13,67,17,1,17,1
KPMG_file.xlsx,NewCustomerList:J259,525,3,0,1,0
Weather_Machakos-5PFA.xlsx,MK135PFA:K4613,2237,1,0,1,0
Supplemental_File_2.xlsx,find DE Mets in iAF1260:B43,2483,214,5,213,5
Weekly-covid-admissions-and-beds-publication-201105.xlsx,MV beds COVID:B57,213,760,9,760,9
Empoyee Master.xlsx,Corrections July 2019:G11,436,1,0,1,0
Input data.xlsx,Sheet2:N2180,391,7,0,6,0
工作簿1-20181122164802462.xlsx,不良明细:CEA5,100,2,0,1,0
big+troubles.xlsx,Action List:AA15,179,0,0,0,0
MER_DataElements_Public.xlsx,des:Q826,1360,3,0,2,0
covidImpact.xlsx,Sheet2:D29246,3658,1,0,1,0
SAM-0.05 OR5x100-0.75_6 dataset analysis.xlsx,State026:B47,453,6,0,1,0
StarterBook - tk06.xlsx,Formatted Data:L157,252,1,0,1,0
2014.12 Thermal Decay .xlsx,C(T):B13,569,1850,18,1850,19
LEITE_COMPOSIÇÃO.xlsx,Plan1:C273,275,16,0,15,0
Football Team Dataset MGSC661.xlsx,22:H12,166,1,0,1,1
WM3796_LT_timeseries_normalization.xlsx,WM3022_LT_timeseries_scaled:E26008,3033,3,0,2,0
NH2012Trends_orig.xlsx,data_harmonization:A1238,81,108,1,4,1
part 4.xlsx,Prob 18:O3,182,77,0,77,0
City Summary Template 1.xlsx,City Summary:K69,1808,5,1,4,1
体验课资料_双十一淘宝美妆数据.xlsx,体验课资料_双十一淘宝美妆数据:D6883,568,1,0,1,0
Burnham Center for Chemical Genomics_edited_20121217_Ian_for_upload.xlsx,Assay Definition:A290,64,2,0,1,0
olist_groups1.xlsx,growths:B7,89,5,0,5,0
机器订单_2020-06-16.xlsx,订单:AG213,37,0,0,0,0
spread_input_jul30_1_12h.xlsx,Truckstops:D767,144,3,0,3,0
Bleaching Data MAP Final.xlsx,Sheet1:G1475,206,1,0,1,0
MacIC-Portfolio-V1-Jan-28-2017.xlsx,Returns:R18,335,1172,11,1169,12
COVID-19%2BDaily%2Bdata%2B-%2BTrends%2Bin%2Bdaily%2BCOVID-19%2Bdata%2B-%2B16%2BNovember%2B2021.xlsx,Chart 3 - Archive ICU:A2,61,18,0,1,0
robin_rodrigue__33371__FTCan_Gas_Bench.xlsx,Detail:F4412,152,1,0,1,0
工作簿1 - 副本-20181123111607388.xlsx,不良明细:CEA5,101,2,0,1,0
工作簿1 - 副本-20181124094219781.xlsx,不良明细:CEA5,97,2,0,1,0
DR2 Voice Line Transcripts.xlsx,English Transcripts:I5635,226,2,0,1,0
short_msg_option_info_data.xlsx,备份:B14446,463,3,0,2,0
订单管理系统.xlsx,客户下单明细表:J13669,166,1,0,1,0
House_Election_Data_2008.xlsx,Cong Dist:BD4906,2020,6,0,3,0
LE2018 ward-by-ward results (updated 08.05.18)_ID.xlsx,Totals:X88,422,15,0,3,0
SoA TEMP V3.11.0.xlsx,Undergr (2):F1051,8795,87,1,8,1
AllDataShapeSimulation.xlsx,Raw Data:K3768,1213,1,1,1,1
Budget Doc.xlsx,Sheet1:AF10850,780,0,0,0,0
Gastos.xlsx,Iniciales (PRESUPUESTO):Z614,1644,138,2,136,2
Slots.xlsx,Char count by slot:B44,71,2,0,2,0
stop_totals.xlsx,Sheet1:F2168,90,1,0,1,0
2020-02-10 0820 Analysis.xlsx,data:N2,455,12083,170,1,176
september-2-2021.xlsx,TestingByDate (Test Date):C3,578,588,6,1,6
database_2016.xlsx,All data:I4705,596,3,0,1,0
ACI.xlsx,H=1.25-P=1.5:I37,157,2,0,2,0
indexes for automatovie sector.xlsx,ReferenceData:C1009,888,29704,1580,29645,1610
工作簿1-20181123115814614.xlsx,不良明细:CEA5,103,2,0,1,0
NUKE.xlsx,20150310_NUKE.csv:AC213,3575,0,0,0,0
Processed Data-pre.xlsx,Password Sequences:A1,112,32,0,1,0
recentAPIdata2019.xlsx,Sheet:N38267,1552,1,0,1,0
2019-06-19-0919_aristolochia_tormentosa.xlsx,Measurements:C11,382,5610,95,5610,99
