fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
COVID-19%2BDaily%2Bdata%2B-%2BTrends%2Bin%2Bdaily%2BCOVID-19%2Bdata%2B-%2B16%2BNovember%2B2021.xlsx,Table 4 - Delayed Discharges:B347946,61,251,3,1,3
robin_rodrigue__33371__FTCan_Gas_Bench.xlsx,Detail:E1797,150,1,0,1,0
工作簿1 - 副本-20181123111607388.xlsx,不良明细:CBJ5,99,2,0,1,0
DR2 Voice Line Transcripts.xlsx,English Transcripts:I5026,262,2,0,1,0
short_msg_option_info_data.xlsx,备份:B16111,484,3,0,2,0
订单管理系统.xlsx,客户下单明细表:J12018,173,2,0,2,0
House_Election_Data_2008.xlsx,Cong Dist:AR4006,2144,7,1,3,1
SoA TEMP V3.11.0.xlsx,Setup1:R2079,9468,4814,70,4813,74
AllDataShapeSimulation.xlsx,Raw Data:K5690,2519,1,0,1,0
Budget Doc.xlsx,Sheet1:AG6818,1320,0,0,0,0
Gastos.xlsx,Iniciales (PRESUPUESTO):BD15,2815,2,0,2,0
Slots.xlsx,Decomposition:A25560,73,5105,62,1,64
stop_totals.xlsx,Sheet1:F3129,407,1,0,1,0
2020-02-10 0820 Analysis.xlsx,data:N2,710,12083,275,1,279
september-2-2021.xlsx,TestingByDate (Test Date):F3,928,588,5,1,5
database_2016.xlsx,All data:J3936,1141,7,0,2,0
ACI.xlsx,H=1.25-P=1.5:B322,678,2,0,2,0
indexes for automatovie sector.xlsx,ReferenceData:C1005,1309,29704,1668,29645,1705
NUKE.xlsx,20150310_NUKE.csv:S2345,5858,11,0,4,0
Processed Data-pre.xlsx,NormalData:AD553,291,55,0,55,1
recentAPIdata2019.xlsx,Sheet:N32501,3202,1,0,1,0
GPSC_CTD_2016.4.25.xlsx,CTD:Q16844,436,1,0,1,0
ExampleStudy.xlsx,Sources:AA4,178,0,0,0,0
KickstarterChallengeWColDeletes.xlsx,OutcomesBasedOnGoals:D2,406,4,0,1,0
bank_term_deposit.xlsx,DAILY RANGE:C4,152,6,0,3,0
advance_excel_project.xlsx,Sheet7 (2):C4,304,4,0,1,0
工作簿1 - 副本-20181124102119337.xlsx,不良明细:CBJ5,104,2,0,1,0
qpcr_template_ottawa_wide.xlsx,Ottawa community data:AG5,231,4,0,2,0
Copy of mytable_customer_details- solution.xlsx,Table5_Dates:A19,1548,5,0,1,0
enem_2012.xlsx,Sheet1:K2049,87,1,0,1,0
CL2.xlsx,Sheet30:B35,200,7,0,6,0
Fact2Sheet_Corona_20200605.xlsx,LastWeek:I3,295,4329,5013,4188,5016
VIL-2018-10.xlsx,22:AE16,94,1,0,1,0
covid-19-dashboard_1-31-2021.xlsx,TestingByDate (Test Date):C3,154,374,3,1,3
Capstone_Lariat.xlsx,2019_Fleet_Planning:C17,3418,26,0,26,0
Pagina_Inicio_PN.xlsx,Datos Pagina Inicial:Z491,94,5,0,4,0
Fact2Sheet_Corona_20200706.xlsx,7_Average_Fat:HQ2,1075,0,0,0,0
BAO CAO CHI 16.10-22.10 TEMPLATE.xlsx,Chi tiết:L7,645,15823,438,15823,451
Day4.xlsx,Calculations:QX215,2715,3,0,3,0
工作簿1-20181122124718157.xlsx,不良明细:CBJ5,108,2,0,1,0
DRAFT_COC_database_20200915_2056_SENT_TO_NTMWD.xlsx,COC_RiskScore:S1,1221,916,12,916,13
lecture6p_2021.xlsx,F-F_Research_Data_Factors_daily:F656,72,1,0,1,0
REMISIONES--DICIEMBRE    --- 2 0 1 4.xlsx,OBRADOR REM :A2,1751,265,3,265,3
benjamin_rogers__1261__Consolidated 6 Peaker-062000.xlsx,Depreciation:Z49,266,543,8,543,8
REMISIONES   OBRADOR   MARZO    2017.xlsx,E N E R O      2 0 1 7      :E3270,405,6,0,6,0
Kickstarter_Challenge 1.xlsx,Outcomes Based on Goals:D4,261,4,0,1,0
manual_grad_rates_corrections_2018.xlsx,grad_rates:R24,420,3,0,2,0
oysters_gtm.xlsx,SPAT:D6025,869,1,0,1,0
px-x-1702020000_105 - Parteien - filledup.xlsx,px-x-1702020000_105:C43389,2054,1,0,1,0
hw_6_2.xlsx,model:D2195,362,12298,318,12298,330
USA list.xlsx,Feuil1:E2,150,4012,170,1,172
工作簿1-20181122164802381.xlsx,不良明细:CBJ5,159,2,0,1,0
虎林码头11月过车详情.xlsx,202011:G10660,348,1,0,1,0
dt upload SIMP MEI 2018.xlsx,Sheet2:A643,302,1603,15,1,15
VIL-2015-08.xlsx,AUG 26:Q10,72,9,0,9,0
分解法乘法 C.xlsx,分解法:R41,867,35050,114542,35050,114577
House_Election_Data_1994.xlsx,Candidates:F13,2131,1257,12,1,12
재료비.xlsx,07. IK:H2,4652,5559,759,5559,771
test-products.xlsx,луковатый:J9,1026,448,9,447,9
100ms.xlsx,Data:BV3,241,0,0,0,0
工作簿1-20181122135748760.xlsx,不良明细:CBJ5,108,2,0,1,0
UWP_Pointer_Log.xlsx,Drag_Swipe:L5,492,1708,19,4,19
All naked-eye visible stars & nebulae.xlsx,Sheet1:E1083,1051,1,0,1,0
Oithona_Microsetella_1.xlsx,Лист1:T1814,636,2,0,1,0
FlowCalib.xlsx,Napa:X7,7105,13150,425,13150,436
zad5.xlsx,D:M1,315,6444,79,6444,84
cerner_model.xlsx,CodeSet:G55,188,10841,249,1,252
初中科学浙江初中科学中考真题及模拟试卷分析表2的副本.xlsx,Sheet1:AK618,533,0,0,0,1
Dashboard_M5_Price_Monthly_2018-09-17-02-09-03.xlsx,SNG:I43106,955,463,5,1,5
Distrito-5.xlsx,DETERMINACION:D6,129,74,1,58,1
VIL-2015-01.xlsx,JAN 18:Q34,82,9,0,9,0
工作簿1 - 副本-20181126095151763.xlsx,不良明细:CBJ5,105,2,0,1,0
医療需要予測ツール_オミクロンとブースター考慮版v3_20220103.xlsx,短期予測:B24,313,8545,338,8539,344
Kickstarter_Challenge_copy.xlsx,Outcomes Based on Goals:B2,156,4,0,1,0
Employment and Wage Data Project - FINAL.xlsx,Main Data:B2,155,3458,48,3458,50
DataSet.xlsx,Sheet6:AC18,98,0,0,0,0
AHP_Psychometric - weighted.xlsx,AHP Example:O85,420,482,8,482,9
Scen_SE_ELC_DH-Pipes.xlsx,Next_to_DH_W_D:E2,144,443,3,2,3
Copia de carga 4 playera.xlsx,datos de carga:AF4,424,0,0,0,0
