fileName,Longest Dep Ref,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
605ed6256e68b.xlsx,Province:B24,1,0,1,0
11301_个别报表_2019年度_北京金科_V0.1-合并版.xlsx,preCF:F13,28,0,14,0
StarterBook_Homework_SMP.xlsx,New Sheet & Bonus:B11,6,0,3,0
RF_num_trees.xlsx,Sheet1:R92,1,0,1,0
工作簿1-20181123094550369.xlsx,不良明细:CEA5,2,0,1,0
GEW.2012.JML.xlsx,E2 ISR raw data:D9009,1,0,1,0
PATCOOL_Board_Wiring_Interfacev4.xlsx,Sheet1:H30,1,0,1,0
gaslines_model_public.xlsx,Transect:A9,69509,669027,1505,669089
Tio Cash Master 1400 Find Ratio of Star-fam.xlsx,1405 fam19 ratio:C5,48920,554,9825,589
Dataset 1 - RAWS and Veer - 01.xlsx,Levels:C3,118,1,21,1
Volume 5.xlsx,Volume 5:A8336,1,0,1,0
realme stock 02.09.21.xlsx,Report:F5,7,0,5,0
industry_steel_cyclonefurnace_bof_production.xlsx,Research data:J13,5,0,4,0
工作簿1-20181122170147433.xlsx,不良明细:CEA5,2,0,1,0
med4-rl-spider45-dno-peptides.xlsx,PTMs:A8,17,1,2,1
36-4f54e4360dc6fd7070026565f3bbea16-1327968647.xlsx,formulario P-2011:T54,4,0,3,0
SunlightCalculator.xlsx,Arkusz2:B38,15,0,3,0
co-2015-vr-12.xlsx,Gender & Status:M7,2,0,2,0
Tháng 06.xlsx,PV - 150.000:G14,6,0,6,0
keyref-jaws-nvda-voicover.xlsx,JAWS+NVDA+VOICEOVER:B62,2,0,1,0
Richness_Ephemeroptera_Plecoptera_Allgenera.xlsx,Dørålseter (Dovre):I187,2,0,2,0
countytractfiles.xlsx,Sheet1:A5847,2,0,1,0
mercury1650pt.xlsx,siptm:AY6483,0,0,0,0
Pezzini2016_SHSY5Ycelldiff_DE_table.xlsx,P<0.01_2FC:D87,1,0,1,0
CarsMaintenance.xlsx,Sheet1:C5,5,0,5,0
robin_rodrigue__33343__Conversion.xlsx,Sheet1:BX12,0,0,0,0
Solution_lesson_2.xlsx,All:F40,4002,34,3,35
MensTennisRPI.xlsx,RPI:B285,1,0,1,0
NaiveBayesText-Expl.xlsx,English:C43,1,0,1,0
Adobe CommonSize.xlsx,Consolidated Statements of Inco:C21,3,0,2,0
Coding Task.xlsx,Coding:M14882,2,0,1,0
JSON用attrib自動生成.xlsx,因子:B9,1,0,1,0
Penske CellComm Progress Tracking (1).xlsx,Overall:C9,3,0,2,0
20150429_PostElectionsAnalysis_NOMIS_DDJ_DecisionTreeData.xlsx,2010 results:B156,2,0,1,0
greige provision.xlsx,Final:Q4,5,0,5,0
main.xlsx,1m:B1675,8,0,3,0
30_70_2ptGuided.xlsx,Sheet1:D36,3,0,2,0
MasterTestData.xlsx,Algo Format:R76,6,0,5,0
Table_for_Geocoder_GO.xlsx,Table_for_Geocoder_GO:E6913,1,0,1,0
Excel_Assignment_6_Many-Sums-Sample-Data.xlsx,Sample Data:O4,3,0,3,0
laravel-excel-pHiphRYQehFmyMFXNhGtW1U1dRBETAXc.xlsx,ALL:A2162,50,0,1,0
transport_truck_using_compressed_natural_gas.converter.xlsx,Notes:G91,4,0,3,0
SAM-0.2 OR30x100-0.75_4 dataset analysis.xlsx,State026:L67,6,0,1,0
NaturalFlows1906-2015.xlsx,AnnualWYTotal Natural Flow:E23,1,0,1,0
DPS Calculator - Ninja.xlsx,Melee:B25,155,5,17,5
BBG_Security_Application_User_List_v5_1.xlsx,Organization:A738,190,2,1,2
EUR_DEMO_CurvesBootstrapping2.xlsx,EURON:A60,1,0,1,0
BaoGia2_24112016.xlsx,QR 5@:D17,8,0,8,0
usdjpy_opt1.xlsx,Sheet1:S4,101,1,51,1
Quizzes_17.2_17.3.xlsx,Quiz 17.3:B1,30328,450,17508,470
NUTS2021.xlsx,Coastal regions:B973,1,0,1,0
Spreadsheet_Challenge_V2.xlsx,pivot (5):D5,15,0,11,0
REMISIONES----OBRADOR---A G O S T O      2016.xlsx,REMISIONES ABRIL  2016  :B3,4062,28,1,29
工作簿1-20181122154759510.xlsx,不良明细:CEA5,2,0,1,0
chris_germany__2628__CES Invoice Jan2000.xlsx,SD's Chris to Unify  Recon:AU276,0,0,0,0
Group_Allocator.xlsx,Student_Data:E38,6,0,6,0
P_Gh_T_S.xlsx,Sheet1:C38,2,0,2,0
8.THẺ KHO- STOCK CARD 13.06.2020.xlsx,Thẻ kho:D13,2015,24,3,24
all cases and contacts 2021-07-01.xlsx,summary:D8925,29,1,19,1
vkaminski__40662__RC0826_WJK_0921.xlsx,Detail:V356,96,1,17,1
PLAN_ORÇAMENTO DCP MODELO.xlsx,PLAN ESP:T21,11,0,8,0
-1432056791.xlsx,data:B38,4,0,3,0
data_problem.xlsx,dwelling parameters:B2,2,0,2,0
EST_TRANS.xlsx,DATOS:B9772,1,0,1,0
ENCERTICUS_Programme_Matrice_V4_2014_S23.xlsx,2_ELECTRICITE:C18,94,0,49,0
Sutrons_Pacings worksheet_Storm1.xlsx,Sheet10:A1,119,0,1,0
2011_Pioneer_AVR_IP_&_RS-232_USA Models_8.6-1.xlsx,FL_character_data:B492,1,0,1,0
currentRackDeliveryPlan.xlsx,Rack Delivery Plan:V1968,1,0,1,0
p9453_0119.xlsx,Sheet1:C5,22,0,1,0
Region_NE.xlsx,Daily Charts:B368,365,2,1,2
Situk 1988-2021 95%_MissFill--Heinl--17_Dec_2021.xlsx,NewDistributions:AE39,3,0,2,0
