fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
ALMACEN      AGOSTO         2016.xlsx,PERNIL:C10,573,2422,108,1,108
greige provision.xlsx,Final:Q4,485,5,0,5,0
BRITANNICA PROJECT EXPENSES.xlsx,CASH 79ST:E370,88,11,0,10,0
main.xlsx,1m:B1675,877,8,0,7,0
30_70_2ptGuided.xlsx,Sheet1:D36,8627,3,0,2,0
Tio Cash Master 1600 1 seventh 0a in the neighborhood of.xlsx,1610 fam29 0.034482 old:F3,6260,3975,26,3968,29
MasterTestData.xlsx,Algo Format:R76,88,6,0,5,0
四象限行业选择.xlsx,日度数据:B4,438,4672,39,66,40
工作簿1-20181122140451052.xlsx,不良明细:CEA5,101,2,0,1,0
Scen_SE_IND_DemandProj.xlsx,Projection New:AK154,109,0,0,0,0
HS_videos_Smit_Cross_augmented_v06.xlsx,HS data:L105,468,2566,23,2536,24
SAM-0.2 OR30x100-0.75_4 dataset analysis.xlsx,State026:L67,512,6,0,1,0
DPS Calculator - Ninja.xlsx,Melee:B25,239,155,3,62,3
BBG_Security_Application_User_List_v5_1.xlsx,Organization:A738,12602,190,2,1,3
Pro-Forma_Report_08012015_07_49_26.xlsx,Venues:C4,195,103,1,103,1
Quizzes_17.2_17.3.xlsx,Quiz 17.3:B1,1007,30328,357,30328,390
valores_produtos.xlsx,dados:D3265,238,1,0,1,0
Spreadsheet_Challenge_V2.xlsx,pivot (5):D5,269,15,1,15,1
REMISIONES----OBRADOR---A G O S T O      2016.xlsx,REMISIONES ABRIL  2016  :B3,1141,4062,26,1,27
工作簿1-20181122154759510.xlsx,不良明细:CEA5,100,2,0,1,0
Raw.xlsx,calcs:X99,84,19,0,1,0
P_Gh_T_S.xlsx,Sheet1:C38,80,2,0,2,0
8.THẺ KHO- STOCK CARD 13.06.2020.xlsx,Thẻ kho:D13,1080,2015,14,3,14
all cases and contacts 2021-07-01.xlsx,summary:D8925,1446,29,1,19,1
data_problem.xlsx,dwelling parameters:B2,1886,2,0,2,0
EST_TRANS.xlsx,DATOS:B9772,398,1,0,1,0
MM2-0530H.xlsx,2Rx2L:D153,124,3,0,2,0
红宝集合.xlsx,最初完整版（音频路径有误）:A3272,578,1,0,1,0
Excel模拟神经网络进行4000次迭代.xlsx,Sheet1:B4,2489,63944,885,63943,950
Situk 1988-2021 95%_MissFill--Heinl--17_Dec_2021.xlsx,NewDistributions:AE39,68,3,0,2,0
healthcare-dataset-stroke-data by akhilesh mishra.xlsx,healthcare-dataset-stroke-data:K665,87,1,0,1,0
物理作业11.xlsx,Sheet1:HN152,1022,149,2,1,2
NHL 2007-08.xlsx,Players:BY1188,1371,0,0,0,0
mary_fischer__25393__yr 2001 Commissioning Summary 2-26-02.xlsx,Feb 2002:C195,123,11,0,7,0
KBandFilter.xlsx,20GHZ:I1172,155,1,0,1,0
MatrizTransición.xlsx,3X3INBURSA:H43,864,13,0,13,0
brti_excel_analysis.xlsx,brti_excel:B63,119,1,0,1,0
SSV1b_TimeRange.xlsx,Sheet1:C12979,1506,2,0,2,0
ecosystems_calculations_20211130.xlsx,0107:F79,377,15,0,4,0
2019-05-10-1102_empty_racir.xlsx,Measurements:C11,318,5610,55,5610,61
工作簿1-20181122163651735.xlsx,不良明细:CEA5,100,2,0,1,0
freezeExample.xlsx,Sheet:C21947,402,1,0,1,0
DailyTradeCounts_2016_2020.xlsx,20160101_20181130:J5725,511,1,0,1,0
Measurements_Temperature_DutyCycle.xlsx,Feuil1:D1,85,2837,14,2836,16
2019-07-03-1019_rhododendron_campylocarpum.xlsx,Measurements:D13,362,6600,64,6600,69
peerrank copy.xlsx,Sheet1:A38,2706,14,0,11,0
GL_Driver_Safety_Report_ferguson_20211031_095848.xlsx,Pivot Tables:M8,79,1,0,1,0
lenderToProyek.xlsx,Sheet2:I32256,3127,2,0,1,1
TestTable.xlsx,Таблица по выездам:AG330,220,0,0,0,0
