fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
IPZ Precio Arriendo Venta Rentabilidad Score Barrio.xlsx,Datos Brutos:J16021,1817,2,0,1,0
CPIvs行业.xlsx,backtest:B617,3849,39963,553,39963,579
Coding Task.xlsx,Coding:AM9393,464,2,0,1,0
ALMACEN      AGOSTO         2016.xlsx,PERNIL:D10,348,2422,17,1,17
greige provision.xlsx,Final:Y5,373,5,0,5,0
BRITANNICA PROJECT EXPENSES.xlsx,CASH 79ST:F73,63,11,0,10,0
main.xlsx,1m:B4816,928,8,0,7,1
30_70_2ptGuided.xlsx,Sheet1:I255,6494,3,0,2,0
Tio Cash Master 1600 1 seventh 0a in the neighborhood of.xlsx,1602 fam07 0.142859 vertical:C6,4664,189106,3324,189106,3644
MasterTestData.xlsx,Algo Format:M5,76,326,5,324,6
四象限行业选择.xlsx,日度数据:C12,422,4672,49,80,50
工作簿1-20181122140451052.xlsx,不良明细:CBJ5,164,2,0,1,0
Scen_SE_IND_DemandProj.xlsx,Convergence programme:K303,85,333,3,333,4
HS_videos_Smit_Cross_augmented_v06.xlsx,datapura:K1603,440,2767,35,2766,37
SAM-0.2 OR30x100-0.75_4 dataset analysis.xlsx,State026:B88,440,6,1,1,1
DPS Calculator - Ninja.xlsx,Weaponskill:B543,151,1536,18,1536,19
BBG_Security_Application_User_List_v5_1.xlsx,Position:BF5,8916,1317,11,1,12
Pro-Forma_Report_08012015_07_49_26.xlsx,Venues:B75,87,420,5,420,5
Quizzes_17.2_17.3.xlsx,Quiz 17.3:D1,766,37358,591,37358,618
valores_produtos.xlsx,dados:E2,164,1,0,1,0
Spreadsheet_Challenge_V2.xlsx,pivot (5):G18,387,31,1,31,1
REMISIONES----OBRADOR---A G O S T O      2016.xlsx,REMISIONES ABRIL  2016  :B3,682,4062,28,1,28
工作簿1-20181122154759510.xlsx,不良明细:CBJ5,95,2,0,1,0
Raw.xlsx,calcs:BE53,167,0,0,0,0
P_Gh_T_S.xlsx,Sheet1:C1003,56,2,0,2,0
8.THẺ KHO- STOCK CARD 13.06.2020.xlsx,Thẻ kho:E13,1858,2015,19,3,19
all cases and contacts 2021-07-01.xlsx,summary:C599,1145,36,1,23,1
data_problem.xlsx,PVs:B5,10900,3,0,1,0
EST_TRANS.xlsx,DATOS:B10219,262,1,1,1,1
MM2-0530H.xlsx,P1dB Pt:R17,166,12,0,2,0
红宝集合.xlsx,最初完整版（音频路径有误）:A6507,401,1,0,1,0
Excel模拟神经网络进行4000次迭代.xlsx,Sheet1:B4,1696,63944,1287,63943,1327
Situk 1988-2021 95%_MissFill--Heinl--17_Dec_2021.xlsx,WhatWasMissed_4Day:U118,55,102,1,102,1
healthcare-dataset-stroke-data by akhilesh mishra.xlsx,healthcare-dataset-stroke-data:K1274,60,1,0,1,0
物理作业11.xlsx,Sheet1:IR152,1246,149,2,1,2
NHL 2007-08.xlsx,Players:AQ1085,1187,0,0,0,0
mary_fischer__25393__yr 2001 Commissioning Summary 2-26-02.xlsx,Feb 2002:A9,120,858,12,850,12
KBandFilter.xlsx,20GHZ:E926,105,1,0,1,0
