fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
36-4f54e4360dc6fd7070026565f3bbea16-1327968647.xlsx,formulario P-2011:T33,688,4,0,3,0
SunlightCalculator.xlsx,Arkusz2:P4,67,2922,33,2922,35
freeze_example.xlsx,Sheet:B1043,336,1,0,1,0
wykaz_czasopism_18-12-2019.xlsx,Czasopisma:B3,207,29036,228,1,231
Richness_Ephemeroptera_Plecoptera_Allgenera.xlsx,Dørålseter (Dovre):H15,50,2,0,2,0
countytractfiles.xlsx,Sheet1:A6009,90,2,0,1,0
mercury1650pt.xlsx,siptm:BB918,366,0,0,0,0
Ex4-5 Team Rating v2 (4).xlsx,Model:O2914,675,2466,29,2465,30
Solution_lesson_2.xlsx,All:G144984,459,4001,35,1,36
MensTennisRPI.xlsx,RPI:H3,4091,2613,19,1,20
webStore.xlsx,WebStore_dupes_marked:M2,855,1699,14,2,15
relacao_geral_-_vodanet_-_07-04-2014.xlsx,Anatel:N1213,115,227,1,1,1
fin-v8.xlsx,Sheet:F12022,5163,2,0,1,0
IPZ Precio Arriendo Venta Rentabilidad Score Barrio.xlsx,Datos Brutos:J16021,1853,2,0,1,0
CPIvs行业.xlsx,backtest:B617,3848,39963,528,39963,558
Coding Task.xlsx,Coding:AM9393,556,2,0,1,0
ALMACEN      AGOSTO         2016.xlsx,PERNIL:D10,412,2422,15,1,15
greige provision.xlsx,Final:Y5,389,5,0,5,0
BRITANNICA PROJECT EXPENSES.xlsx,CASH 79ST:F73,69,11,0,10,0
main.xlsx,1m:B4816,1036,8,0,7,0
30_70_2ptGuided.xlsx,Sheet1:I255,6345,3,1,2,1
Tio Cash Master 1600 1 seventh 0a in the neighborhood of.xlsx,1602 fam07 0.142859 vertical:C6,4477,189106,3123,189106,3425
MasterTestData.xlsx,Algo Format:M5,72,326,5,324,5
四象限行业选择.xlsx,日度数据:C12,409,4672,48,80,49
工作簿1-20181122140451052.xlsx,不良明细:CBJ5,208,2,0,1,0
Scen_SE_IND_DemandProj.xlsx,Convergence programme:K303,93,333,3,333,3
HS_videos_Smit_Cross_augmented_v06.xlsx,datapura:K1603,472,2767,36,2766,38
