fileName,Max Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
Objectlist2.xlsx,Tabelle4:E22,462,2,0,2,0
1.1 3.17. Practical example. Confidence intervals_lesson.xlsx.xlsx,Al Bundy:C14970,645,2,0,2,0
data-1-1-3-StarterBook.xlsx,Kickstarter:D3797,740,1,0,1,0
zacni_0.xlsx,Percentiles:B2,4730,716,10,713,10
Excel_Crowdfunding_data.xlsx,Stat_Analysis:C14,364,1,0,1,0
2020年慢病预算(12.12调整稿).xlsx,老店新客门店:CA11,3603,14,9,12,9
7.1.Practical-example.Confidence-intervals-lesson.xlsx,Al Bundy:C14970,528,2,0,2,0
(1)27-B.xlsx,27-B:C104702,902,1,0,1,0
工作簿1-20181122165042480.xlsx,不良明细:CBJ5,462,1,0,1,0
工作簿1 - 副本-20181126094353956.xlsx,不良明细:CBJ5,470,1,0,1,0
2_result.xlsx,fuzzy_2_subset:B643,785,16,0,4,0
Working Sample 3-20-2017.xlsx,7 day sales:D36156,3029,1,0,1,0
VIL-2014-09.xlsx,SEPT 18:Q34,161,9,0,9,0
